# element_ind cluster_ind center? dist
  476 1 0     0.030
  477 1 0     0.030
  478 1 0     0.029
  479 1 0     0.030
  480 1 0     0.030
  481 1 0     0.031
  482 1 0     0.030
  483 1 0     0.031
  484 1 0     0.031
  485 1 0     0.033
  486 1 0     0.032
  487 1 0     0.033
  488 1 0     0.033
  489 1 0     0.032
  490 1 0     0.032
  491 1 0     0.033
  492 1 0     0.031
  493 1 0     0.030
  494 1 0     0.031
  495 1 0     0.033
  496 1 0     0.032
  497 1 0     0.032
  498 1 0     0.032
  499 1 0     0.032
  500 1 0     0.031
