Coordination,R1-CHARMM36m,CHARMM36m(NH2-CT3),R2-CHARMM36m,R3-CHARMM36m,R1-a99sb-ILDN,R2-a99sb-ILDN,R3-a99sb-ILDN,R1-a99sb*-ILDN,R2-a99sb*-ILDN,R3-a99sb*-ILDN
Tetrahedral,10.582,9.185,48.789,10.074,0.607,0.421,7.089,0.409,7.499,0.286
Tetrahedral,7.536,12.08,49.636,9.543,0.467,0.488,8.25,0.286,8.103,0.612
Tetrahedral,8.762,9.032,49.334,9.527,0.806,1.001,6.837,0.653,8.204,0.498
Tetrahedral,9.069,7.344,52.943,9.464,0.427,0.349,9.969,0.864,9.297,1.406
Tetrahedral,10.692,9.055,48.572,11.043,0.356,0.572,7.038,0.588,7.207,0.563
Tetrahedral,8.689,9.267,48.95,12.314,0.275,0.376,8.676,0.459,9.624,0.397
Tetrahedral,10.595,8.519,51.186,10.254,0.497,0.421,6.759,0.278,9.967,0.449
Tetrahedral,11.669,9.315,51.532,10.046,0.295,0.394,0.454,0.287,7.614,0.378
Tetrahedral,8.776,11.271,49.993,10.582,1.12,1.356,6.182,0.052,7.328,0.931
Tetrahedral,9.869,8.487,51.314,10.621,1.023,0.838,5.735,0.303,7.836,0.276
Tetrahedral,8.881,11.452,50.329,11.717,0.455,0.258,7.057,0.626,3.285,0.509
Tetrahedral,8.751,8.134,50.366,10.038,1.344,0.66,6.46,0.55,2.757,0.474
Tetrahedral,9.864,7.936,50.446,11.819,0.605,0.463,7.258,0.807,7.971,0.503
Tetrahedral,10.745,9.416,49.214,10.673,0.364,0.718,8.286,0.289,8.101,1.007
Tetrahedral,10.191,8.736,51.325,7.195,0.352,0.139,6.704,1.163,0.594,1.307
Tetrahedral,9.364,8.907,47.588,10.319,0.526,0.452,6.611,0.699,7.043,0.754
Tetrahedral,8.441,10.53,49.956,10.54,0.708,0.56,8.28,1.613,10.716,0.705
Tetrahedral,9.763,11.409,51.972,9.279,0.429,0.752,9.175,0.085,10.024,0.152
Tetrahedral,10.286,9.916,53.336,9.575,0.725,0.206,6.221,0.775,5.412,0.153
Tetrahedral,10.561,10.17,46.937,10.769,0.85,0.22,7.656,0.324,8.623,1.32
Tetrahedral,7.956,9.218,49.256,10.383,0.281,0.605,8.951,0.863,8.402,0.27
Tetrahedral,9.266,8.124,52.254,7.487,0.563,0.486,7.176,0.203,7.24,0.238
Tetrahedral,9.28,7.369,47.318,8.089,0.299,0.323,6.966,0.42,9.231,0.496
Tetrahedral,9.826,12.164,51.12,7.907,0.42,1.213,5.063,0.511,3.009,0.342
Tetrahedral,9.088,8.326,44.9,9.876,0.741,0.317,9.408,1.103,9.399,0.375
Tetrahedral,11.449,9.3,51.411,10.575,0.363,0.419,7.351,0.49,8.245,0.926
Tetrahedral,10.129,9.848,50.66,10.08,0.157,0.217,8.854,1.335,8.001,0.873
Tetrahedral,9.495,9.323,47.314,9.414,0.705,0.495,9.397,0.127,6.984,1.269
Tetrahedral,9.875,6.371,51.772,8.898,0.316,0.519,7.265,0.638,7.727,0.815
Tetrahedral,11.652,7.992,48.89,9.113,0.564,0.752,7.885,0.541,7.651,1.308
Tetrahedral,8.713,9.243,46.687,9.232,0.782,0.738,7.799,0.195,3.217,0.795
Tetrahedral,9.231,10.007,50.887,7.744,0.174,0.603,5.45,1.092,3.8,0.531
Tetrahedral,7.818,6.937,48.115,11.376,0.903,0.57,9.536,0.582,9.059,0.684
Tetrahedral,10.224,12.01,49.42,10.915,0.348,0.847,7.534,0.696,7.764,1.124
Tetrahedral,10.748,10.536,50.113,7.33,0.273,0.198,6.775,1.001,6.96,0.668
Tetrahedral,8.141,8.736,49.846,8.064,0.444,0.214,8.519,0.274,7.476,0.491
Tetrahedral,11.319,9.877,47.512,9.903,0.888,0.231,7.511,0.617,6.619,0.439
Tetrahedral,7.949,11.275,52.033,12.374,1.64,0.614,6.579,0.778,8.293,0.308
Tetrahedral,11.918,12.018,49.303,9.172,0.271,1.252,8.043,0.459,9.149,0.243
Tetrahedral,7.758,7.715,49.619,8.426,1.026,0.434,8.305,0.398,9.605,0.536
Tetrahedral,10.198,8.855,49.192,8.375,0.26,0.519,9.164,0.551,7.811,0.904
Tetrahedral,10.989,11.385,46.943,11.564,0.669,0.614,5.061,0.936,9.296,0.593
Tetrahedral,9.284,10.567,49.265,11.179,0.474,1.271,7.331,0.35,8.485,0.419
Tetrahedral,10.132,7.02,41.104,10.047,1.001,0.51,8.105,0.501,8.949,0.229
Tetrahedral,9.944,10.244,53.068,11.189,0.705,0.481,6.868,0.246,8.736,3.672
Tetrahedral,7.676,10.626,44.982,10.201,0.537,0.328,8.283,0.279,6.868,0.342
Tetrahedral,11.49,8.121,51.24,8.807,0.152,0.479,10.184,0.918,5.646,0.606
Tetrahedral,8.92,8.189,53.123,10.288,0.445,0.485,8.224,0.942,7.375,0.466
Tetrahedral,9.198,8.035,51.553,10.281,0.464,0.283,9.171,0.908,6.367,0.65
Tetrahedral,10.709,9.74,47.41,8.421,0.671,0.315,5.906,1.569,7.452,1.772
Tetrahedral,8.542,8.888,52.089,9.98,0.687,0.167,10.007,0.713,7.814,0.725
Tetrahedral,10.304,10.746,50.063,10.381,0.524,0.429,9.148,0.615,9.534,0.436
Tetrahedral,12.159,9.986,50.442,8.97,0.713,0.602,5.879,0.582,8.438,1.221
Tetrahedral,9.227,6.608,52.362,7.207,1.156,0.172,7.95,0.283,7.412,0.468
Tetrahedral,10.481,8.272,52.305,10.441,0.604,0.425,8.364,0.399,6.668,0.771
Tetrahedral,9.765,8.472,50.82,9.989,1.041,0.287,7.954,0.757,7.906,0.366
Tetrahedral,9.959,9.017,43.815,8.506,0.738,0.466,9.174,0.451,9.213,0.324
Tetrahedral,10.661,9.196,46.768,8.719,0.11,0.671,8.12,0.822,9.452,0.684
Tetrahedral,11.441,12.122,48.57,9.441,0.632,0.69,6.946,0.48,7.034,0.792
Tetrahedral,10.783,7.064,48.304,9.6,0.538,0.818,5.56,0.919,6.77,1.054
Tetrahedral,10.482,10.348,52.652,10.812,0.208,0.86,8.473,0.549,7.815,0.536
Tetrahedral,10.797,8.829,47.874,10.819,1.502,0.404,6.823,0.711,7.629,1.168
Tetrahedral,12.09,8.56,45.455,9.091,0.582,0.414,7.442,0.31,9.385,0.974
Tetrahedral,15.072,10.705,44.968,10.023,0.355,0.3,6.891,0.332,7.19,1.682
Tetrahedral,10.258,7.793,47.837,9.139,0.533,0.452,7.557,0.351,8.062,0.177
Tetrahedral,9.193,9.142,51.411,11.08,0.826,0.351,11.464,0.248,8.772,0.526
Tetrahedral,11.761,8.351,51.841,9.959,0.589,0.814,7.675,0.537,0.864,0.298
Tetrahedral,10.024,7.204,43.868,8.991,0.18,0.418,7.446,0.894,0.744,0.233
Tetrahedral,12.384,8.296,50.302,9.067,0.326,0.908,9.683,0.358,3.471,0.182
Tetrahedral,9.317,8.724,50.75,8.998,0.694,0.602,8.059,0.308,0.418,0.73
Tetrahedral,9.808,9.669,52.218,8.332,0.383,0.162,7.132,0.203,0.207,0.479
Tetrahedral,10.559,10.017,51.944,9.513,0.717,0.408,8.566,0.336,0.125,0.112
Tetrahedral,10.171,11.249,51.762,8.345,0.573,0.444,7.494,0.173,2.677,1.425
Tetrahedral,11.075,8.488,48.938,9.443,0.184,0.365,9.939,0.501,0.098,0.58
Tetrahedral,8.496,7.972,52.22,10.26,0.462,0.594,8.18,0.826,0.137,0.764
Tetrahedral,9.564,8.297,53.297,9.354,1.002,0.511,7.258,1.022,0.172,0.176
Tetrahedral,10.948,10.377,46.294,9.917,1.118,0.304,7.495,0.659,0.338,1.054
Tetrahedral,12.381,10.153,44.176,8.969,0.247,0.604,7.636,0.638,7.374,0.753
Tetrahedral,9.787,7.932,49.477,10.019,0.966,0.458,8.146,0.637,6.932,1.074
Tetrahedral,11.546,7.275,43.869,9.032,0.552,0.567,6.547,1.054,3.251,0.582
Tetrahedral,11.116,7.34,46.041,10.669,0.691,0.265,8.329,0.956,9.481,0.858
Tetrahedral,10.656,6.714,48.088,8.854,0.88,0.596,8.203,10.759,7.321,0.561
Tetrahedral,8.857,10.255,44.872,9.4,0.783,0.313,7.643,0.202,7.051,0.829
Tetrahedral,10.555,7.753,45.777,10.229,0.554,0.399,8.244,0.329,6,0.699
Tetrahedral,8.164,8.701,45.596,11.208,0.664,0.142,8.958,0.161,5.859,0.58
Tetrahedral,11.232,7.209,52.72,9.489,0.711,0.872,7.382,0.424,7.136,0.563
Tetrahedral,6.991,9.528,55.077,8.261,0.582,0.366,6.372,0.221,6.602,0.346
Tetrahedral,9.129,7.435,46.112,8.556,0.602,0.094,10.314,0.595,4.67,0.647
Tetrahedral,11.369,10.48,46.913,9.856,0.814,0.595,6.489,1.134,8.377,1.028
Tetrahedral,13.324,7.829,47.612,9.876,0.14,0.535,6.938,0.531,7.811,0.493
Tetrahedral,11.866,9.306,52.559,10.292,0.737,0.413,5.684,0.525,7.02,0.222
Tetrahedral,10.989,8.315,43.929,10.066,0.627,0.44,7.942,1.22,7.65,1.033
Tetrahedral,11.663,9.116,55.96,8.118,0.388,0.685,6.261,0.548,7.347,0.542
Tetrahedral,10.293,10.309,46.182,9.551,0.183,0.699,7.924,0.615,5.226,1.403
Tetrahedral,9.866,11.538,41.22,9.935,0.471,0.407,9.085,1.267,6.361,0.257
Tetrahedral,9.987,10.483,39.238,9.883,0.53,0.255,10.042,1.831,6.592,1.385
Tetrahedral,7.683,10.434,43.27,9.747,0.209,0.676,9.088,0.627,7.552,0.387
Tetrahedral,10.596,10.574,44.627,9.089,0.801,0.289,6.885,0.299,2.963,0.362
Tetrahedral,9.719,9.208,45.12,10.059,0.528,0.622,8.407,0.766,2.651,0.969
Tetrahedral,9.842,10.923,44.238,9.508,0.621,0.464,7.409,0.419,8.509,0.333
Tetrahedral,8.642,10.473,44.004,11.343,0.379,0.089,7.14,1.017,3.093,0.864
Tetrahedral,13.006,11.004,43.022,9.581,0.368,0.263,7.033,0.583,6.628,0.396
Tetrahedral,8.762,10.075,45.933,9.976,0.252,0.713,7.651,0.647,3.362,0.675
Tetrahedral,8.525,7.129,41.59,8.186,1.024,1.114,7.61,0.881,3.794,0.444
Tetrahedral,11.504,8.916,44.909,10.225,0.67,0.844,8.33,0.337,9.184,0.445
Tetrahedral,9.659,10.056,43.964,9.685,0.903,0.964,8.072,0.296,8.6,0.266
Tetrahedral,10.41,9.96,45.707,10.405,0.556,1.49,6.784,0.401,9.027,0.123
Tetrahedral,9.826,11.302,46.948,8.283,1.269,0.89,6.049,0.308,7.88,0.382
Tetrahedral,8.786,9.436,45.105,10.462,2.264,1.152,7.794,0.287,7.542,0.745
Tetrahedral,11.166,8.631,50.326,11.504,0.144,0.644,8.46,0.215,5.973,0.588
Tetrahedral,11.227,12.936,52.511,9.545,0.797,0.62,6.339,0.739,8.278,0.852
Tetrahedral,9.534,12.266,46.62,9.758,0.362,0.293,6.374,0.859,6.895,0.39
Tetrahedral,10.017,9.336,49.472,10.386,0.633,1.059,6.424,0.699,7.755,0.449
Tetrahedral,10.194,9.222,42.43,11.782,0.332,0.694,7.116,0.803,9.017,0.434
Tetrahedral,9.125,12.015,50.847,11.341,0.776,0.282,7.332,0.389,6.968,1.217
Tetrahedral,9.547,10.075,46.239,11.84,0.39,0.334,9.372,0.23,6.492,0.632
Tetrahedral,10.044,9.629,47.019,10.3,0.541,0.301,7.939,0.211,9.073,0.407
Tetrahedral,9.953,10.329,49.201,9.796,0.997,0.423,8.303,0.502,7.827,0.591
Tetrahedral,8.79,9.205,44.556,9.426,0.757,0.414,10.156,0.265,7.719,0.836
Tetrahedral,11.64,9.072,47.062,8.959,0.484,0.901,7.062,0.324,8.3,0.926
Tetrahedral,11.318,9.009,46.365,9.87,1.166,0.15,5.796,0.513,6.702,1.456
Tetrahedral,9.044,12.441,40.341,10.567,0.677,0.359,9.12,0.664,7.599,0.484
Tetrahedral,11.67,8.87,49.877,9.942,0.749,0.244,7.699,0.671,9.414,1.085
Tetrahedral,8.494,13.996,53.851,10.72,0.268,0.777,6.512,0.528,9.763,0.531
Tetrahedral,10.14,9.899,53.371,11.297,0.731,0.375,8.344,0.592,7.458,1.551
Tetrahedral,10.419,10.912,53.015,10.166,0.304,0.461,6.063,0.578,6.777,0.307
Tetrahedral,9.57,8.108,52.15,9.989,0.496,0.27,7.491,0.698,7.873,0.649
Tetrahedral,9.116,10.402,49.452,9.769,0.095,0.254,10.217,0.289,9.362,0.295
Tetrahedral,9.274,10.114,45.238,9.255,0.63,0.263,5.935,0.479,6.03,0.332
Tetrahedral,8.828,10.293,57.487,11.907,0.74,0.725,7.112,0.754,8.117,0.581
Tetrahedral,9.958,11.229,48.493,9.592,1.306,1.282,6.63,0.645,9.362,0.413
Tetrahedral,8.069,9.378,52.277,8.907,0.538,0.269,5.682,0.453,8.794,0.972
Tetrahedral,8.704,10.601,51.396,8.427,0.594,0.777,7.64,0.171,7.874,0.48
Tetrahedral,9.114,10.941,53.195,9.468,0.506,0.797,10.231,0.36,9.241,0.403
Tetrahedral,9.142,10.462,54.326,8.667,0.495,0.669,5.176,0.592,6.733,0.836
Tetrahedral,11.788,9.591,49.275,11.265,0.804,0.623,0.897,0.715,9.589,0.501
Tetrahedral,11.04,11.049,49.265,10.731,0.582,0.353,0.862,0.546,7.304,1.901
Tetrahedral,9.403,8.216,53.978,9.841,0.349,0.873,8.64,0.942,7.645,2.743
Tetrahedral,10.084,8.363,55.135,10.664,0.479,0.334,7.341,0.654,7.711,1.157
Tetrahedral,10.397,10.459,49.902,9.78,0.624,0.429,6.851,0.712,6.209,1.428
Tetrahedral,9.59,13.147,51.184,9.772,0.567,0.795,8.1,0.667,6.036,0.445
Tetrahedral,8.334,11.271,48.134,9.863,0.465,0.426,7.382,0.904,7.512,1.276
Tetrahedral,9.308,8.691,46.827,9.45,0.512,1.047,8.864,0.74,3.12,0.63
Tetrahedral,10.198,12.795,45.788,9.877,0.224,0.314,7.55,0.572,5.587,0.325
Tetrahedral,10.617,10.228,46.718,12.203,0.814,0.61,7.084,0.548,7.069,0.528
Tetrahedral,9.377,9.17,52.476,8.229,0.425,0.563,6.394,0.601,0.78,0.478
Tetrahedral,8.664,10.182,43.204,10.084,0.375,0.24,10.172,0.838,0.773,3.083
Tetrahedral,11.072,8.893,46.36,15.437,0.98,0.734,8.204,1.054,2.487,2.41
Tetrahedral,8.655,9.865,48.514,10.639,0.542,0.427,6.343,0.576,3.573,2.706
Tetrahedral,9.162,9.467,47.731,11.454,0.81,0.298,6.795,0.267,7.789,2.229
Tetrahedral,8.47,9.316,55.015,11.231,1.046,0.871,0.21,1.321,7.329,2.543
Tetrahedral,9.185,10.611,49.197,10.862,1.027,0.632,0.324,0.68,7.227,1.181
Tetrahedral,9.59,8.336,44.907,10.204,0.51,0.73,8.423,0.517,7.143,3.44
Tetrahedral,11.995,10.32,44.412,9.836,0.614,0.387,6.946,0.288,3.826,1.744
Tetrahedral,8.432,11.54,50.502,9.897,0.328,0.848,7.65,0.624,6.937,2.761
Tetrahedral,9.143,7.925,50.215,9.231,0.228,0.149,7.984,0.264,7.261,3.065
Tetrahedral,10.42,8.595,51.278,10.69,0.291,0.447,6.858,0.36,4.396,3.072
Tetrahedral,9.795,9.668,49.705,8.4,0.499,0.782,0.766,0.385,6.616,3.008
Tetrahedral,8.602,10.084,49.765,12.185,1.255,0.158,7.825,0.41,6.496,2.503
Tetrahedral,9.641,7.535,46.339,11.191,0.428,0.406,6.274,0.515,7.368,1.108
Tetrahedral,10.629,9.879,45.544,11.002,0.254,0.621,7.597,0.582,8.585,2.531
Tetrahedral,9.072,8.95,49.513,10.505,0.309,0.444,5.926,0.193,9.644,2.558
Tetrahedral,9.252,9.686,51.105,8.793,0.289,0.513,0.368,0.307,8.498,2.681
Tetrahedral,6.971,10.871,47.713,10.596,0.725,1.133,0.663,0.346,8.646,2.979
Tetrahedral,8.762,8.924,49.31,11.174,0.5,0.251,6.963,0.427,6.859,2.437
Tetrahedral,8.484,10.324,53.337,9.568,0.542,0.577,5.401,0.655,8,1.872
Tetrahedral,11.357,10.5,52.401,7.817,0.381,0.221,6.304,0.978,7.642,2.128
Tetrahedral,9.234,9.04,42.066,10.418,0.426,0.172,6.907,0.867,7.109,2.383
Tetrahedral,10.206,8.388,53.528,10.159,0.283,0.738,0.54,0.757,5.099,2.58
Tetrahedral,8.495,7.32,43.817,7.082,1.035,0.467,6.601,0.31,5.933,2.302
Tetrahedral,9.738,11.054,55.881,10.167,0.275,0.22,6.419,0.621,5.946,3.056
Tetrahedral,9.877,10.315,54.407,9.05,0.425,0.561,7.272,0.401,2.325,2.216
Tetrahedral,10.536,8.831,47.243,9.038,0.481,0.248,0.261,0.972,7.362,2.647
Tetrahedral,8.662,9.179,49.406,10.727,0.521,1.16,8.904,0.445,10.136,2.678
Tetrahedral,10.7,9.509,45.808,11.001,0.454,0.935,8.338,0.162,7.628,2.663
Tetrahedral,11.966,9.87,47.546,11.016,0.717,0.546,0.408,1.198,6.815,2.184
Tetrahedral,9.158,9.605,42.659,9.164,0.558,0.869,7.8,0.872,6.186,2.445
Tetrahedral,10.788,8.853,43.676,8.515,0.501,0.76,8.274,0.567,7.03,2.374
Tetrahedral,9.717,8.875,48.458,13.68,0.922,0.736,5.756,0.346,3.506,3.062
Tetrahedral,10.537,9.061,46.858,15.113,0.453,1.031,8.386,0.57,5.188,3.375
Tetrahedral,9.816,9.629,47.837,10.509,0.35,0.238,7.577,0.417,7.673,2.82
Tetrahedral,8.823,11.456,45.579,10.151,0.342,0.548,7.279,0.38,5.749,2.574
Tetrahedral,8.327,7.119,43.593,9.992,0.401,1.111,5.949,0.845,5.824,2.759
Tetrahedral,10.161,9.824,46.973,11.246,0.44,0.311,7.712,0.763,8.925,2.994
Tetrahedral,9.581,9.764,46.596,9.721,0.175,0.084,7.67,0.93,6.066,2.819
Tetrahedral,11.461,9.323,48.713,9.827,0.091,0.992,6.659,0.298,6.725,2.61
Tetrahedral,7.799,10.897,47.724,12.088,0.377,0.516,6.888,0.471,2.617,3.597
Tetrahedral,7.792,9.784,48.26,9.594,0.58,0.245,0.611,0.495,2.786,1.919
Tetrahedral,8.838,9.661,46.726,9.008,0.735,1.164,0.951,0.297,8.502,2.358
Tetrahedral,11.254,10.698,47.788,11.272,0.897,0.719,0.676,1.413,7.439,1.759
Tetrahedral,9.789,7.355,48.152,10.616,0.821,0.357,0.13,1,0.265,2.804
Tetrahedral,7.525,9.302,48.206,13.429,0.557,0.326,0.746,0.142,8.607,3.372
Tetrahedral,8.598,10.5,49.016,8.785,0.149,0.367,6.769,0.708,6.844,2.673
Tetrahedral,12.225,9.589,47.797,9.436,0.728,0.492,7.034,0.563,6.577,3.13
Tetrahedral,11.245,10.453,48.239,10.266,1.048,0.642,7.133,0.527,5.035,2.942
Tetrahedral,10.064,9.171,50.509,9.502,0.669,0.65,6.493,1.083,8.957,3.11
Tetrahedral,9.948,10.799,48.185,11.254,0.513,0.905,0.598,0.883,7.334,2.685
Tetrahedral,10.009,10.004,47.579,13.541,0.504,0.379,2.986,0.17,7.407,2.549
Tetrahedral,8.568,9.631,46.509,10.676,0.267,0.349,8.494,0.324,7.958,2.896
Tetrahedral,8.6,9.825,46.56,11.094,0.412,0.637,7.039,0.264,6.95,2.558
Tetrahedral,10.901,8.312,46.637,11.523,0.743,0.97,0.473,0.875,6.548,3.416
Tetrahedral,8.51,10.249,49.18,11.847,1.104,0.707,1.001,0.454,5.593,3.264
Tetrahedral,10.259,9.926,48.364,11.087,0.152,0.819,1.978,0.627,9.442,2.128
Tetrahedral,10.352,9.273,48.581,9.352,0.622,0.355,6.042,0.727,7.242,3.256
Tetrahedral,10.705,9.111,44.645,10.557,0.12,0.753,2.907,1.05,7.092,2.581
Tetrahedral,10.65,9.35,47.161,10.01,0.695,0.606,2.527,0.819,8.337,2.885
Tetrahedral,10.845,11.388,46.855,7.363,0.614,1.177,1.26,0.637,8.343,2.906
Tetrahedral,10.609,8.175,48.203,12.11,0.399,0.379,9.266,0.74,8.638,2.679
Tetrahedral,8.584,11.77,46.189,9.957,0.556,0.752,7.19,1.295,6.948,2.706
Tetrahedral,10.818,10.836,43.659,9.495,0.646,0.282,5.885,0.236,8.807,3.501
Tetrahedral,11.101,10.799,49.387,11.556,0.705,0.226,6.247,0.183,5.606,2.174
Tetrahedral,10.423,10.006,47.87,10.78,0.492,0.28,6.904,0.366,7.341,1.835
Tetrahedral,7.398,9.61,47.124,12.543,0.388,0.3,7.302,0.37,8.585,3.937
Tetrahedral,9.606,8.188,47.358,7.863,0.676,0.647,7.542,0.691,8.815,3.141
Tetrahedral,11.93,11.594,47.442,9.876,0.668,0.331,0.392,0.838,6.631,2.452
Tetrahedral,9.928,11.815,48.523,13.301,0.374,0.694,6.337,0.523,6.705,2.098
Tetrahedral,10.452,10.933,44.28,11.948,0.792,0.383,6.514,0.326,6.71,3.124
Tetrahedral,8.987,8.738,46.853,14.49,1.361,0.347,8.28,0.325,7.664,3.218
Tetrahedral,7.998,9.226,49.029,13.65,3.852,0.585,7.56,0.199,9.849,2.313
Tetrahedral,10.08,11.202,46.045,10.52,2.014,0.482,0.68,0.649,5.308,2.829
Tetrahedral,9.832,7.25,47.303,10.565,2.953,0.253,6.796,0.841,7.215,3.001
Tetrahedral,9.783,9.078,45.614,11.478,3.578,0.245,6.513,0.78,9.539,3.054
Tetrahedral,8.891,9.655,49.259,9.846,1.937,0.407,0.188,0.318,8.746,3.112
Tetrahedral,8.76,10.189,46.974,12.01,0.134,0.099,9.407,0.592,8.3,2.755
Tetrahedral,9.007,7.988,47.658,8.652,0.824,1.483,7.314,1.443,6.668,2.595
Tetrahedral,10.179,10.753,47.434,9.808,1.056,0.365,7.757,0.832,9.223,3.001
Tetrahedral,9.458,9.35,51.453,9.747,0.635,0.996,9.253,0.374,7.327,2.617
Tetrahedral,9.641,9.999,48.178,13.172,0.171,0.692,6.47,0.501,8.916,1.586
Tetrahedral,10.332,9.357,46.569,13.285,0.282,0.132,7.058,0.657,6.298,2.879
Tetrahedral,7.982,8.305,45.943,10.92,0.4,0.912,6.384,0.564,7.103,2.155
Tetrahedral,8.678,11.066,46.351,10.501,0.48,0.512,9.105,0.285,7.732,2.351
Tetrahedral,9.782,10.058,45.882,10.774,0.738,0.167,6.996,1.152,7.973,2.241
Tetrahedral,8.728,8.736,49.344,11.449,0.494,0.734,0.37,0.839,7.557,3.579
Tetrahedral,13.222,7.925,48.178,10.932,0.434,0.175,0.24,0.78,6.493,3.98
Tetrahedral,10.398,7.605,43.167,10.098,0.583,1.213,0.844,0.883,8.243,1.956
Tetrahedral,10.313,8.939,48.358,11.683,0.346,0.363,0.245,0.569,0.479,2.555
Tetrahedral,8.343,10.095,48.262,10.968,0.528,0.486,2.131,0.834,0.473,3.562
Tetrahedral,8.263,10.33,47.709,9.441,0.124,0.486,1.446,0.334,1.714,3.009
Tetrahedral,10.173,7.974,50.188,10.967,0.794,0.582,0.703,0.392,3.999,3.735
Tetrahedral,10.366,10.651,47.167,9.274,0.164,1.087,0.329,1.331,9.102,4.76
Tetrahedral,9.12,9.982,47.109,11.684,0.436,0.369,7.42,0.18,9.865,2.076
Tetrahedral,8.693,11.038,47.713,8.236,0.322,0.754,8.562,0.379,9.278,2.569
Tetrahedral,11.178,8.52,49.722,9.83,0.225,0.187,7.422,0.204,8.476,2.793
Tetrahedral,6.792,9.197,52.252,11.037,0.273,0.41,0.498,0.769,2.827,2.49
Tetrahedral,8.444,8.877,48.093,11.414,0.573,0.536,0.428,0.502,8.101,2.376
Tetrahedral,8.294,9.914,50.56,9.981,0.516,1.335,1.433,0.509,8.34,3.77
Tetrahedral,9.348,9.111,51.038,9.896,0.721,0.499,7.528,0.252,0.475,3.032
Tetrahedral,8.581,9.868,53.709,10.243,0.43,0.654,9.62,0.359,5.201,1.538
Tetrahedral,7.919,10.669,52.593,10.982,0.82,0.474,6.682,0.585,8.512,3.21
Tetrahedral,11.944,6.627,52.62,9.701,0.642,0.068,8.724,1.159,0.912,2.653
Tetrahedral,8.898,9.817,53.853,11.525,0.459,1.663,7.447,0.515,5.202,3.027
Tetrahedral,9.768,8.976,49.282,11.413,0.237,0.814,6.656,0.285,6.557,1.731
Tetrahedral,10.783,10.153,52.714,10.218,0.423,0.177,9.932,0.519,9.413,2.715
Tetrahedral,10.13,10.085,51.503,10.306,0.796,1.658,8.217,0.225,7.494,2.516
Tetrahedral,8.884,9.686,51.795,9.854,0.333,0.328,8.388,1.075,8.757,2.485
Tetrahedral,10.198,8.482,52.075,10.046,0.624,0.881,5.776,0.583,8.132,3.516
Tetrahedral,10.215,8.998,53.995,11.833,0.839,0.472,8.475,0.551,7.517,3.094
Tetrahedral,9.128,9.19,52.387,9.794,0.485,0.486,7.867,0.52,7.838,2.38
Tetrahedral,11.234,9.718,50.699,8.506,0.22,0.371,0.718,0.243,8.163,2.971
Tetrahedral,9.074,7.313,50.254,7.425,0.194,0.574,6.651,0.459,10.375,2.664
Tetrahedral,10.273,8.648,52.483,9.186,0.338,0.687,8.235,1.353,8.108,2.961
Tetrahedral,11.393,7.658,53.076,10.771,0.249,0.925,7.317,0.495,8.664,2.175
Tetrahedral,9.282,8.997,49.354,10.126,0.622,0.427,7.837,0.763,8.061,2.412
Tetrahedral,9.757,9.007,50.839,11.171,0.079,0.469,8.505,0.262,7.517,1.738
Tetrahedral,8.376,9.984,53.458,9.5,0.588,1.163,8.449,0.776,6.852,2.62
Tetrahedral,9.017,8.787,50.571,9.821,0.287,0.471,9.111,0.721,6.368,3.606
Tetrahedral,9.785,8.947,53.477,11.657,1.145,0.86,8.961,0.621,0.486,2.24
Tetrahedral,10.921,10.871,49.96,9.067,0.485,0.254,7.761,1.05,0.304,2.535
Tetrahedral,11.044,10.249,53.228,9.426,0.578,0.823,9.831,0.58,2.288,2.965
Tetrahedral,8.028,10.035,51.038,9.762,0.312,0.31,8.273,0.947,8.181,2.606
Tetrahedral,10.606,8.305,54.821,9.071,0.292,0.969,6.768,0.45,0.72,2.954
Tetrahedral,10.404,8.243,51.946,8.14,0.326,0.903,9.263,0.608,0.853,2.581
Tetrahedral,10.18,9.666,44.203,13.146,0.273,0.114,7.629,0.977,0.545,1.83
Tetrahedral,8.43,9.817,41.289,11.202,0.344,0.471,8.903,0.657,6.595,3.326
Tetrahedral,10.292,8.241,46.386,10.61,0.688,0.4,7.908,1.075,7.027,3.34
Tetrahedral,11.084,7.673,39.491,9.577,0.362,0.13,7.417,0.487,6.681,2.173
Tetrahedral,8.97,10.479,38.882,12.103,0.421,0.414,8.37,0.379,6.86,2.938
Tetrahedral,9.042,8.173,39.632,12.041,0.325,0.577,7.228,0.65,7.388,3.081
Tetrahedral,10.286,7.961,45.1,9.586,0.754,0.318,5.637,1.303,3.865,3.035
Tetrahedral,8.034,10.381,40.442,9.932,0.873,1.042,7.815,0.602,5.507,3.039
Tetrahedral,9.054,10.431,39.805,10.99,0.291,0.411,7.109,1.262,3.22,3.481
Tetrahedral,9.276,12.312,43.577,10.97,0.619,0.778,6.758,0.644,7.803,2.71
Tetrahedral,9.082,9.832,40.282,11.428,1.177,0.431,5.519,1.847,6.712,3.009
Tetrahedral,8.121,10.178,43.036,7.76,0.87,0.478,7.178,0.923,6.606,3.247
Tetrahedral,11.295,9.059,47.895,7.945,1.362,0.701,9.514,0.875,0.634,2.443
Tetrahedral,9.287,9.403,43.002,10.342,1.303,0.286,7.62,0.896,2.183,1.515
Tetrahedral,7.839,10.281,40.222,11.404,0.53,0.37,7.66,0.85,2.345,2.897
Tetrahedral,8.836,8.808,44.029,12.582,0.38,0.267,8.878,0.649,0.338,2.064
