Coordination,R1-CHARMM36m,CHARMM36m(NH2-CT3),R2-CHARMM36m,R3-CHARMM36m,R1-a99sb-ILDN,R2-a99sb-ILDN,R3-a99sb-ILDN,R1-a99sb*-ILDN,R2-a99sb*-ILDN,R3-a99sb*-ILDN
Tetrahedral,8.907,8.274,8.618,10.45,0.447,0.902,0.529,0.847,0.427,0.603
Tetrahedral,11.183,10.41,9.349,8.565,0.266,0.749,0.615,0.912,0.685,0.327
Tetrahedral,10.086,9.154,9.073,8.31,0.183,0.579,0.512,0.449,0.408,0.149
Tetrahedral,8.969,9.773,11.429,9.994,0.632,0.702,1.051,0.38,0.256,0.477
Tetrahedral,11.674,7.797,10.994,9.638,0.887,0.623,0.635,0.811,0.819,0.395
Tetrahedral,10.198,8.586,10.851,10.946,0.927,0.476,0.362,0.452,0.645,0.562
Tetrahedral,10.096,8.78,12.073,8.807,0.485,0.149,0.747,0.435,0.375,0.783
Tetrahedral,8.124,8.578,9.358,10.766,0.429,0.405,0.849,0.928,0.715,0.257
Tetrahedral,9.735,8.736,10.667,10.697,0.21,0.96,0.859,0.461,0.398,0.541
Tetrahedral,9.832,10.297,9.915,8.535,0.324,0.272,0.445,0.493,0.565,1.24
Tetrahedral,9.534,9.909,9.433,7.63,0.697,0.561,0.453,1.143,0.556,0.623
Tetrahedral,10.51,9.76,9.492,11.084,0.27,0.169,0.374,0.624,0.683,0.241
Tetrahedral,8.877,9.613,11.08,13.074,0.256,1.163,0.457,0.396,0.406,0.803
Tetrahedral,11.002,9.094,10.644,9.613,0.417,0.28,0.395,0.744,0.359,0.628
Tetrahedral,6.704,9.369,10.134,11.298,0.564,0.452,0.659,0.36,1.176,0.27
Tetrahedral,11.715,7.788,9.463,10.126,1.051,0.674,0.613,0.335,0.3,0.499
Tetrahedral,8.566,10.043,8.642,8.859,0.391,0.436,0.894,0.575,0.4,0.454
Tetrahedral,10.905,12.419,10.69,9.61,0.298,1.023,0.645,0.38,0.628,1.484
Tetrahedral,7.285,10.168,8.804,10.837,0.924,0.689,0.644,0.967,0.784,1.12
Tetrahedral,8.299,10.176,9.734,11.11,0.253,0.701,0.585,0.575,0.359,0.537
Tetrahedral,8.339,9.415,9.901,8.961,0.106,0.793,0.799,0.414,0.521,0.471
Tetrahedral,10.321,9.386,11.537,11.134,0.692,0.648,0.287,1.115,0.376,1.18
Tetrahedral,7.704,8.901,8.255,10.418,0.505,0.366,0.686,0.139,0.751,0.404
Tetrahedral,11.281,8.872,12.434,9.247,0.728,0.626,2.583,0.486,0.764,0.19
Tetrahedral,9.187,8.519,11.168,11.902,0.73,0.729,3.54,0.41,0.512,0.569
Tetrahedral,10.226,10.995,10.663,9.954,0.301,0.223,0.755,0.5,0.222,0.937
Tetrahedral,8.149,8.919,9.414,10.592,0.531,0.942,2.026,0.731,0.315,0.757
Tetrahedral,11.304,9.008,10.751,9.482,0.765,1.076,5.49,0.36,0.449,0.523
Tetrahedral,9.85,11.336,9.597,10.315,0.513,0.935,7.593,0.517,0.379,0.221
Tetrahedral,8.661,10.433,9.76,10.687,0.12,0.119,7.387,0.328,0.803,0.609
Tetrahedral,9.116,10.311,9.342,8.418,0.626,0.321,4.069,0.802,0.629,0.962
Tetrahedral,11.63,9.554,10.519,11.702,0.341,0.234,7.246,0.381,0.696,0.848
Tetrahedral,9.391,9.057,12.635,10.139,1.263,0.612,6.04,0.27,1.133,0.345
Tetrahedral,8.995,8.867,12.408,10.661,0.53,0.725,8.001,0.45,0.7,0.259
Tetrahedral,8.901,10.281,11.543,9.7,0.603,0.668,7.073,0.501,0.615,0.366
Tetrahedral,6.68,10.185,8.189,11.046,0.382,0.66,6.396,0.721,0.217,0.322
Tetrahedral,10.05,7.856,13.084,9.342,0.474,0.51,7.626,0.41,0.438,0.34
Tetrahedral,9.06,11.027,8.795,9.854,0.259,0.484,0.316,0.276,0.551,0.544
Tetrahedral,7.501,9.158,10.031,10.472,0.438,0.673,6.339,0.773,0.961,0.606
Tetrahedral,11.593,8.038,11.102,9.001,0.292,0.509,7.939,0.205,1.178,0.478
Tetrahedral,7.885,9.359,10.611,11.067,0.856,0.171,2.992,0.639,0.291,0.329
Tetrahedral,8.877,9.343,7.158,9.114,0.537,0.846,6.285,0.713,0.724,0.361
Tetrahedral,7.997,10.085,9.065,10.172,0.523,0.996,4.482,0.315,0.139,0.358
Tetrahedral,10.682,9.623,9.895,9.346,0.697,0.349,6.49,0.57,0.693,0.778
Tetrahedral,11.293,10.807,10.751,8.424,0.259,0.771,2.814,1.166,0.514,0.603
Tetrahedral,13.12,9.557,7.506,9.015,0.419,0.349,1.906,0.24,1.484,1.317
Tetrahedral,8.428,10.098,10.093,10.748,0.793,0.291,0.619,0.412,1.009,0.596
Tetrahedral,9.946,7.824,8.116,11.056,0.209,0.891,7.249,0.476,0.422,0.71
Tetrahedral,9.458,9.049,9.81,9.08,0.757,0.688,7.058,0.801,0.276,0.909
Tetrahedral,10.778,8.298,8.22,8.922,0.173,0.606,7.372,0.973,0.491,0.987
Tetrahedral,7.915,10.109,10.249,8.319,1.056,0.738,8.146,0.8,0.741,0.662
Tetrahedral,7.314,10.59,9.25,10.777,0.423,0.883,8.251,0.133,0.292,0.56
Tetrahedral,9.246,7.474,9.54,9.929,0.611,0.649,5.687,0.329,0.56,0.352
Tetrahedral,8.71,9.769,11.064,9.484,0.686,0.394,4.196,0.376,0.42,0.213
Tetrahedral,10,6.873,8.928,9.202,0.286,0.414,7.652,0.65,0.519,0.49
Tetrahedral,9.246,8.536,11.628,8.403,0.522,0.925,7.4,0.444,1.071,0.972
Tetrahedral,11.523,9.245,8.904,8.788,1.1,2.132,7.356,0.643,0.38,0.677
Tetrahedral,10.923,9.485,11.052,9.577,0.309,0.294,7.788,0.421,0.163,0.455
Tetrahedral,8.046,9.619,8.634,8.575,0.6,0.522,9.917,0.564,0.777,0.966
Tetrahedral,8.93,7.94,8.899,10.678,0.336,1.21,9.281,0.587,0.837,0.932
Tetrahedral,8.621,11.475,9.919,8.426,0.238,0.593,7.3,0.653,1.162,0.47
Tetrahedral,8.432,9.363,9.336,8.358,0.24,0.985,5.979,0.675,0.094,0.225
Tetrahedral,8.994,8.082,9.942,7.479,0.446,0.399,7.287,1.071,0.637,0.475
Tetrahedral,10.639,10.571,9.396,8.582,0.601,0.563,5.914,1.109,0.178,0.684
Tetrahedral,9.305,10.943,11.129,9.005,0.831,0.46,8.15,0.966,0.465,0.323
Tetrahedral,12.412,8.963,9.125,9.467,0.073,0.619,6.473,0.472,0.625,0.464
Tetrahedral,10.127,10.847,8.098,12.254,0.994,0.218,7.504,0.594,1.015,0.728
Tetrahedral,9.623,11.412,7.688,10.527,0.448,0.433,7.596,0.796,0.24,0.215
Tetrahedral,8.052,10.449,9.536,10.017,0.362,0.497,5.889,0.766,0.893,0.392
Tetrahedral,12.688,10.162,10.034,8.27,0.284,1.012,9.037,0.547,0.347,0.391
Tetrahedral,10.117,9.043,9.673,9.736,0.781,0.708,8.978,0.886,0.688,0.337
Tetrahedral,9.736,9.602,8.531,8.975,0.128,0.383,6.252,0.504,1.208,1.58
Tetrahedral,9.031,11.403,8.776,10.077,0.948,0.101,9.265,0.688,0.758,0.3
Tetrahedral,8.323,11.088,10.606,9.998,1.234,0.42,6.84,0.674,0.291,0.189
Tetrahedral,7.319,9.399,8.687,10.08,0.36,1.462,7.908,0.244,0.483,0.839
Tetrahedral,10.058,8.885,9.751,9.304,0.103,0.634,7.859,0.284,0.499,0.486
Tetrahedral,7.564,10.004,10.502,8.183,0.519,0.749,6.694,0.17,0.683,0.44
Tetrahedral,7.142,11.882,9.089,8.27,0.516,1.462,7.809,1.347,0.613,0.247
Tetrahedral,8.047,8.798,7.869,12.181,0.701,0.426,10.698,0.427,5.423,0.834
Tetrahedral,9.152,9.771,8.626,9.04,0.236,0.307,9.129,0.212,0.951,0.792
Tetrahedral,10.944,11.6,8.2,9.087,0.553,0.52,8.893,0.896,0.482,0.296
Tetrahedral,8.146,9.985,10.67,10.285,0.976,0.951,9.035,0.365,0.325,0.684
Tetrahedral,9.826,8.964,10.667,8.774,0.728,0.361,6.474,1.086,0.248,0.592
Tetrahedral,9.909,8.613,9.177,9.57,0.59,0.183,6.765,0.277,1.24,0.919
Tetrahedral,8.543,8.167,9.338,8.801,0.308,0.524,7.448,0.461,0.237,0.624
Tetrahedral,9.973,9.352,8.437,8.831,0.968,1.38,6.575,1.075,0.424,0.304
Tetrahedral,9.266,7.728,10.386,11.73,1.1,1.014,7.527,0.345,0.279,0.388
Tetrahedral,9.987,8.52,8.639,8.92,0.2,1,7.82,0.487,1.065,0.729
Tetrahedral,7.732,9.886,10.041,10.081,0.331,1.152,6.979,1.008,0.242,0.55
Tetrahedral,10.291,8.682,9.453,11.747,0.63,0.397,7.225,0.573,0.65,1.536
Tetrahedral,10.559,9.19,8.316,10.394,0.737,0.592,3.143,0.089,1.058,0.206
Tetrahedral,9.009,8.781,9.4,7.916,0.599,0.327,9.564,0.54,4.322,1.05
Tetrahedral,10.269,9.863,7.906,9.801,0.431,0.345,0.158,0.567,0.432,1.223
Tetrahedral,10.965,9.034,10.026,8.747,0.403,0.298,0.285,0.499,0.792,0.851
Tetrahedral,8.928,9.334,10.691,11.386,0.401,0.615,0.42,0.239,1.749,0.809
Tetrahedral,9.767,10.831,9.364,7.906,0.807,0.386,1.476,0.344,9.841,0.473
Tetrahedral,11.439,9.254,9.908,9.394,0.377,0.642,0.706,0.842,6.75,0.473
Tetrahedral,8.918,8.85,7.455,10.067,0.629,0.171,0.9,0.292,2.377,0.396
Tetrahedral,11.267,10.121,10.081,8.876,0.379,0.439,7.577,0.391,4.248,0.097
