Coordination,r1_c36,r2_c36,r3_c36,r1_a99sb*
Tetrahedral,8.801,10.062,9.564,0.611
Tetrahedral,11.485,8.716,9.537,0.398
Tetrahedral,10.102,9.81,8.629,0.673
Tetrahedral,9.495,8.391,11.517,0.567
Tetrahedral,10.77,9.179,9.994,0.252
Tetrahedral,11.712,8.969,10.706,0.683
Tetrahedral,12.229,8.798,8.111,0.516
Tetrahedral,11.203,9.573,12.033,0.186
Tetrahedral,9.917,7.451,10.568,0.297
Tetrahedral,9.241,7.915,8.728,0.906
Tetrahedral,10.541,8.649,10.822,0.393
Tetrahedral,8.623,10.671,9.921,1.548
Tetrahedral,8.703,8.723,10.038,2.124
Tetrahedral,10.601,7.612,8.828,0.428
Tetrahedral,10.642,9.862,8.429,0.426
Tetrahedral,9.807,9.701,10.397,0.287
Tetrahedral,11.862,10.015,10.344,0.603
Tetrahedral,9.619,7.046,10.467,0.235
Tetrahedral,8.548,8.635,11.413,0.305
Tetrahedral,9.344,9.008,9.243,0.263
Tetrahedral,9.08,7.904,11.298,0.879
Tetrahedral,10.147,8.315,9.023,0.35
Tetrahedral,11.816,10.245,8.554,0.699
Tetrahedral,11.275,10.525,9.909,0.666
Tetrahedral,11.867,9.206,8.545,0.618
Tetrahedral,12.348,7.836,10.637,0.807
Tetrahedral,9.956,10.249,10.154,0.114
Tetrahedral,9.694,8.607,10.143,0.721
Tetrahedral,8.826,9.304,10.694,1.425
Tetrahedral,10.728,5.919,8.611,0.442
Tetrahedral,9.728,7.462,11.184,0.289
Tetrahedral,11.633,7.071,10.639,0.525
Tetrahedral,10.227,7.349,11.382,0.477
Tetrahedral,9.393,9.342,8.629,0.479
Tetrahedral,10.971,8.956,8.049,2.072
Tetrahedral,13.234,9.456,10.011,0.467
Tetrahedral,8.883,10.373,10.503,0.215
Tetrahedral,9.457,9.564,11.484,0.692
Tetrahedral,10.786,8.562,10.832,0.413
Tetrahedral,10.544,9.052,12.126,1.057
Tetrahedral,9.948,9.738,8.488,0.209
Tetrahedral,11.984,6.662,9.719,0.791
Tetrahedral,8.666,8.513,8.345,0.423
Tetrahedral,11.038,7.829,10.893,1.174
Tetrahedral,9.559,8.659,9.448,0.277
Tetrahedral,11.005,9.648,11.597,1.139
Tetrahedral,11.252,9.37,10.231,0.662
Tetrahedral,10.112,10.909,12.332,0.538
Tetrahedral,9.58,10.683,10.117,0.836
Tetrahedral,11.521,7.819,8.064,1.261
Tetrahedral,12.392,9.436,10.913,0.364
Tetrahedral,11.593,11.217,9.02,0.338
Tetrahedral,9.858,6.33,8.837,1.178
Tetrahedral,9.771,7.894,10.247,0.395
Tetrahedral,9.973,9.75,9.638,0.623
Tetrahedral,8.884,9.12,13.214,0.396
Tetrahedral,12.211,10.452,12.522,0.227
Tetrahedral,7.849,7.877,11.606,0.921
Tetrahedral,10.576,9.136,9.744,0.653
Tetrahedral,8.79,9.01,10.285,0.491
Tetrahedral,9.25,8.237,10.234,0.23
Tetrahedral,9.45,10.228,10.506,0.246
Tetrahedral,9.455,10.268,9.012,0.36
Tetrahedral,11.432,9.669,10.799,0.503
Tetrahedral,10.083,9.576,10.936,0.66
Tetrahedral,10.392,8.679,11.653,0.504
Tetrahedral,11.532,6.937,9.702,0.098
Tetrahedral,9.322,8.794,12.103,0.35
Tetrahedral,13.962,10.889,11.405,0.595
Tetrahedral,9.767,8.957,8.134,1.622
Tetrahedral,13.986,8.24,12.263,0.65
Tetrahedral,11.073,6.883,10.742,0.238
Tetrahedral,10.571,7.811,10.944,0.717
Tetrahedral,11.257,11.399,11.603,0.438
Tetrahedral,11.459,7.785,9.111,0.46
Tetrahedral,12.33,7.687,10.654,2.571
Tetrahedral,9.849,9.232,11.319,0.39
Tetrahedral,13.029,7.964,9.731,0.643
Tetrahedral,10.463,8.037,8.7,0.927
Tetrahedral,8.309,9.775,10.065,1.907
Tetrahedral,10.131,8.458,10.194,0.487
Tetrahedral,9.77,9.262,10.433,0.668
Tetrahedral,9.565,6.55,9.781,0.316
Tetrahedral,14.151,10.53,9.194,2.187
Tetrahedral,11.33,7.945,11.004,0.662
Tetrahedral,12.449,10.166,10.112,0.524
Tetrahedral,10.388,9.401,8.795,0.305
Tetrahedral,8.711,5.914,10.164,0.256
Tetrahedral,10.999,9.079,8.376,0.683
Tetrahedral,9.907,6.048,10.933,0.118
Tetrahedral,11.089,9.55,11.063,0.881
Tetrahedral,13.206,6.137,9.389,0.993
Tetrahedral,9.948,8.941,12.647,0.121
Tetrahedral,8.46,10.915,10.787,0.585
Tetrahedral,10.196,8.233,9.238,0.43
Tetrahedral,8.589,10.862,11.78,0.371
Tetrahedral,11.698,10.491,12.703,0.621
Tetrahedral,11.3,8.631,10.987,0.339
Tetrahedral,9.123,7.7,10.287,0.46
Tetrahedral,10.044,8.721,7.116,0.319
Tetrahedral,9.163,9.331,8.926,0.79
Tetrahedral,8.52,8.394,12.422,0.469
Tetrahedral,11.928,9.508,10.045,2.69
Tetrahedral,13.93,9.384,10.164,0.413
Tetrahedral,9.246,12.123,8.655,0.701
Tetrahedral,10.165,11.052,11.513,0.379
Tetrahedral,9.019,9.571,7.647,0.503
Tetrahedral,10.225,10.567,11.464,1.221
Tetrahedral,9.653,7.431,8.432,1.096
Tetrahedral,11.814,10.01,9.89,0.607
Tetrahedral,7.524,10.235,8.484,0.094
Tetrahedral,8.827,10.82,10.482,0.375
Tetrahedral,12.81,11.636,9.52,1.645
Tetrahedral,9.335,9.663,10.484,0.832
Tetrahedral,11.663,8.184,12.173,0.355
Tetrahedral,10.531,9.252,12.738,0.126
Tetrahedral,11.805,8.784,10.204,0.291
Tetrahedral,7.87,8.316,10.138,0.852
Tetrahedral,11.133,8.86,9.832,0.367
Tetrahedral,11.194,8.513,8.469,0.445
Tetrahedral,9.931,8.323,11.341,0.701
Tetrahedral,11.182,9.645,8.645,2.022
Tetrahedral,11.633,8.232,8.377,2.041
Tetrahedral,11.681,9.74,10.038,1.55
Tetrahedral,9.046,9.805,11.907,0.534
Tetrahedral,8.94,7.05,11.881,0.299
Tetrahedral,8.449,7.236,11.216,0.295
Tetrahedral,9.702,7.005,14.279,0.408
Tetrahedral,11.322,8.432,8.636,1.111
Tetrahedral,15.015,8.397,9.111,0.478
Tetrahedral,10.68,9.637,11.145,0.376
Tetrahedral,10.828,10.821,7.683,1.416
Tetrahedral,10.012,8.925,10.445,1.62
Tetrahedral,8.91,8.214,9.939,0.77
Tetrahedral,10.876,6.679,9.642,0.576
Tetrahedral,7.771,8.551,8.54,1.228
Tetrahedral,10.909,7.851,10.942,1.097
Tetrahedral,9.765,9.623,10.641,0.228
Tetrahedral,10.393,8.835,10.271,0.334
Tetrahedral,11.446,9.821,10.975,0.372
Tetrahedral,11.41,8.737,10.369,0.183
Tetrahedral,10.161,9.602,9.244,0.527
Tetrahedral,8.164,9.831,10.903,2.653
Tetrahedral,10.51,8.261,8.51,11.069
Tetrahedral,12.561,8.305,10.296,3.283
Tetrahedral,8.608,10.085,9.994,1.878
Tetrahedral,8.754,10.961,10.862,1.724
Tetrahedral,10.856,11.711,9.867,2.211
Tetrahedral,12.065,8.404,11.697,1.763
Tetrahedral,9.158,8.778,11.611,1.835
Tetrahedral,10.875,8.616,10.872,2.531
Tetrahedral,8.952,8.856,7.578,2.158
Tetrahedral,10.419,7.957,10.071,1.87
Tetrahedral,9.692,9.386,11.671,2.625
Tetrahedral,10.045,10.69,9.295,2.083
Tetrahedral,9.945,10.944,11.02,3.273
Tetrahedral,11.938,8.42,10.294,3.173
Tetrahedral,10.19,9.593,8.691,2.249
Tetrahedral,10.041,10.738,7.314,2.324
Tetrahedral,10.29,10.161,8.668,1.927
Tetrahedral,9.876,10.064,10.519,2.838
Tetrahedral,8.029,10.458,10.274,2.145
Tetrahedral,9.563,9.158,9.151,1.869
Tetrahedral,10.692,8.787,10.211,2.986
Tetrahedral,12.033,11.067,10.955,2.343
Tetrahedral,10.83,10.632,8.959,2.078
Tetrahedral,10.557,10.415,9.221,2.31
Tetrahedral,11.184,10.87,11.705,1.38
Tetrahedral,11.168,9.802,11.759,7.961
Tetrahedral,8.117,10.304,10.083,9.145
Tetrahedral,11.969,9.236,11.315,9.03
Tetrahedral,8.311,8.94,9.558,7.371
Tetrahedral,11.499,11.201,9.474,2.953
Tetrahedral,8.104,8.648,10.61,0.422
Tetrahedral,11.503,9.444,10.202,0.288
Tetrahedral,8.684,11.619,10.358,0.267
Tetrahedral,10.421,9.414,9.585,1.928
Tetrahedral,11.435,9.013,12.471,0.322
Tetrahedral,9.136,9.929,8.714,0.25
Tetrahedral,10.441,9.624,10.57,0.23
Tetrahedral,7.761,11.454,8.332,0.597
Tetrahedral,9.121,9.463,8.806,0.792
Tetrahedral,8.326,10.762,11.099,0.855
Tetrahedral,11.637,9.053,9.751,0.535
Tetrahedral,9.609,8.166,9.993,5.488
Tetrahedral,10.063,10.083,9.297,0.496
Tetrahedral,9.023,9.787,8.161,1.008
Tetrahedral,9.193,9.85,9.871,2.843
Tetrahedral,11.322,12.382,10.846,8.146
Tetrahedral,9.311,10.604,10.376,1.94
Tetrahedral,8.293,11.718,10.834,3.555
Tetrahedral,9.96,9.886,12.609,3.048
Tetrahedral,8.773,10.371,8.322,2.848
Tetrahedral,9.569,10.12,10.815,0.387
Tetrahedral,9.958,10.624,10.256,2.327
Tetrahedral,10.994,9.702,10.714,1.349
Tetrahedral,10.611,11.212,9.487,2.024
Tetrahedral,7.523,10.636,8.617,2.127
Tetrahedral,10.426,10.983,11.736,2.561
Tetrahedral,12.258,10.134,11.387,2.272
Tetrahedral,12.113,9.098,9.787,1.814
Tetrahedral,7.986,11.521,7.908,1.734
Tetrahedral,9.971,7.664,10.567,1.9
Tetrahedral,9.588,11.191,9.382,2.4
Tetrahedral,9.722,12.41,8.77,2.412
Tetrahedral,11.172,8.516,10.911,1.425
Tetrahedral,13.037,10.32,9.48,2.013
Tetrahedral,9.183,9.354,10.229,3.024
Tetrahedral,10.23,11.595,11.911,2.521
Tetrahedral,11.122,7.17,10.766,2.66
Tetrahedral,7.81,11.221,7.353,2.312
Tetrahedral,8.929,9.508,12.466,2.476
Tetrahedral,7.505,8.971,9.571,1.968
Tetrahedral,10.316,10.506,11.263,2.111
Tetrahedral,11.19,10.447,8.727,1.744
Tetrahedral,11.241,9.964,9.819,1.831
Tetrahedral,10.03,11.96,8.937,3.386
Tetrahedral,11.381,11.321,13.23,1.716
Tetrahedral,9.152,9.345,8.231,7.186
Tetrahedral,9.35,10.512,11.718,2.545
Tetrahedral,8.617,8.63,10.181,1.925
Tetrahedral,10.131,8.671,11.34,1.686
Tetrahedral,8.73,11.53,10.025,2.496
Tetrahedral,12.986,12.775,9.212,1.109
Tetrahedral,10.008,9.269,10.087,2.591
Tetrahedral,12.798,11.95,10.059,1.294
Tetrahedral,9.658,10.261,11.418,2.949
Tetrahedral,8.198,8.702,10.51,1.691
Tetrahedral,8.008,11.246,9.684,2.887
Tetrahedral,10.262,8.768,11.749,1.461
Tetrahedral,11.618,9.709,13.673,3.38
Tetrahedral,8.858,10.245,9.031,2.909
Tetrahedral,10.713,8.714,10.781,1.973
Tetrahedral,10.165,10.438,10.817,2.144
Tetrahedral,9.482,9.97,10.331,2.17
Tetrahedral,9.719,9.912,12.532,2.341
Tetrahedral,8.985,9.069,9.174,2.099
Tetrahedral,10.075,13.552,12.016,1.986
Tetrahedral,7.179,9.536,11.09,2.401
Tetrahedral,10.518,10.915,12.574,2.084
Tetrahedral,12.03,10.699,11.089,2.484
Tetrahedral,9.385,10.094,9.368,1.75
Tetrahedral,11.94,10.387,12.615,2.365
Tetrahedral,10.483,12.736,9.96,7.687
Tetrahedral,10.479,11.12,10.485,2.71
Tetrahedral,9.349,9.868,10.403,1.788
Tetrahedral,9.413,9.844,10.483,1.689
Tetrahedral,10.713,13.038,11.514,1.785
Tetrahedral,9.775,9.468,10.51,4.335
Tetrahedral,8.546,9.623,10.708,3.401
Tetrahedral,11.049,9.328,9.674,3.061
Tetrahedral,12.154,10.921,7.952,3.362
Tetrahedral,10.137,9.45,8.938,2.666
Tetrahedral,8.957,8.531,9.118,1.566
Tetrahedral,8.746,7.988,10.375,1.294
Tetrahedral,11.683,11.181,11.71,1.757
Tetrahedral,9.581,10.645,11.158,2.599
Tetrahedral,10.39,9.413,9.329,1.887
Tetrahedral,11.543,9.319,11.383,2.419
Tetrahedral,10.97,6.882,12.516,2.091
Tetrahedral,8.943,8.345,9.886,3.038
Tetrahedral,8.835,10.038,11.591,2.386
Tetrahedral,10.607,7.937,9.466,2.549
Tetrahedral,9.114,10.945,11.729,1.606
Tetrahedral,9.391,7.422,9.511,1.372
Tetrahedral,10.03,10.992,10.371,3.323
Tetrahedral,9.792,11.46,10.887,1.769
Tetrahedral,10.719,10.148,11.849,1.965
Tetrahedral,12.334,9.045,9.64,1.431
Tetrahedral,9.608,10.316,11.776,2.529
Tetrahedral,11.299,9.799,10.737,2.365
Tetrahedral,9.09,9.745,8.838,2.194
Tetrahedral,12.307,10.127,11.601,2.734
Tetrahedral,9.858,7.892,10.665,1.484
Tetrahedral,6.954,9.548,9.289,1.196
Tetrahedral,9.213,11.044,9.686,2.857
Tetrahedral,10.65,11.254,8.24,4.178
Tetrahedral,11.196,8.804,9.964,1.982
Tetrahedral,9.96,8.482,12.384,3.341
Tetrahedral,9.951,9.504,9.641,1.378
Tetrahedral,9.857,10.809,8.825,2.108
Tetrahedral,9.023,11.21,10.24,1.299
Tetrahedral,9.195,11.725,11.238,1.556
Tetrahedral,10.028,9.075,10.266,3.666
Tetrahedral,9.893,11.074,12.488,1.644
Tetrahedral,10.188,10.09,9.783,1.694
Tetrahedral,11.782,9.296,12.433,0.884
Tetrahedral,10.064,8.748,9.128,2.907
Tetrahedral,8.702,8.869,9,3.642
Tetrahedral,11.088,8.059,8.205,1.349
Tetrahedral,8.216,6.775,9.478,2.768
Tetrahedral,10.542,9.488,10.929,3.048
Tetrahedral,10.844,10.906,9.751,2.715
Tetrahedral,11.295,11.274,11.103,2.267
Tetrahedral,8.585,11.945,10.36,1.632
Tetrahedral,9.33,7.814,9.377,2.086
Tetrahedral,8.27,9.793,9.72,1.187
Tetrahedral,9.125,9.281,10.355,2.27
Tetrahedral,7.754,11.072,10.531,1.133
Tetrahedral,9.818,8.606,10.785,2.247
Tetrahedral,9.95,8.056,9.091,2.302
Tetrahedral,11.553,10.239,11.256,0.246
Tetrahedral,9.807,7.747,9.848,2.258
Tetrahedral,11.05,7.88,9.672,2.372
Tetrahedral,9.824,8.532,10.147,2.136
Tetrahedral,7.976,9.675,8.975,2.917
Tetrahedral,10.701,6.976,11.499,2.649
Tetrahedral,9.321,9.572,9.611,1.632
Tetrahedral,7.403,8.601,8.834,2.81
Tetrahedral,10.538,7.904,11.227,1.753
Tetrahedral,10.543,8.423,11.695,2.793
Tetrahedral,9.451,9.871,13.309,2.49
Tetrahedral,10.474,10.368,8.608,1.514
Tetrahedral,11.189,12.788,10.185,2.973
Tetrahedral,9.065,7.827,9.137,1.659
Tetrahedral,9.82,9.589,10.137,2.482
Tetrahedral,11.214,9.612,9.022,1.706
Tetrahedral,10.302,8.975,10.818,2.354
Tetrahedral,8.53,8.579,7.082,1.713
Tetrahedral,10.383,11.195,10.648,1.278
Tetrahedral,10.982,8.996,10.187,2.064
Tetrahedral,10.069,7.123,11.987,1.742
Tetrahedral,10.399,8.267,10.196,1.234
Tetrahedral,9.946,7.835,9.838,1.975
Tetrahedral,10.182,8.952,8.034,2.219
Tetrahedral,9.356,11.348,8.698,2.844
Tetrahedral,8.75,7.675,8.989,1.935
Tetrahedral,9.45,8.071,8.923,1.592
Tetrahedral,10.141,10.941,8.601,2.879
Tetrahedral,8.277,12.062,8.138,2.353
Tetrahedral,10.632,9.273,10.437,2.438
Tetrahedral,10.457,8.379,7.704,1.647
Tetrahedral,9.509,8.646,10.554,3.098
Tetrahedral,9.408,9.36,9.81,3.292
Tetrahedral,10.313,9.103,8.958,2.109
Tetrahedral,12.585,7.439,11.817,0.835
Tetrahedral,9.536,7.293,9.456,2.134
Tetrahedral,11.116,11.623,10.063,1.995
Tetrahedral,11.249,7.495,9.619,1.929
Tetrahedral,10.293,8.414,8.899,2.173
Tetrahedral,9.139,8.935,7.953,1.753
Tetrahedral,10.04,9.068,10.518,2.112
Tetrahedral,11.05,9.247,11.716,2.339
Tetrahedral,11.733,8.822,10.456,2.831
Tetrahedral,9.068,7.604,9.47,2.629
Tetrahedral,9.083,9.56,8.583,2.783
Tetrahedral,8.718,7.456,10.163,2.591
Tetrahedral,11.204,10.465,11.437,2.504
Tetrahedral,9.767,10.567,8.323,2.261
Tetrahedral,12.169,8.164,13.996,1.54
Tetrahedral,10.05,9.437,9.649,2.345
Tetrahedral,9.739,9.488,10.146,0.282
Tetrahedral,9.391,9.074,11.214,2.163
Tetrahedral,10.166,7.891,11.807,0.45
Tetrahedral,9.956,12.157,12.077,2.064
Tetrahedral,10.073,7.959,12.325,1.786
Tetrahedral,8.429,8.96,11.693,1.816
Tetrahedral,11.237,7.64,12.553,2.1
Tetrahedral,10.39,8.118,11.023,2.948
Tetrahedral,10.729,10.527,9.923,2.848
Tetrahedral,9.22,8.725,11.218,2.993
Tetrahedral,9.267,7.566,11.087,3.01
Tetrahedral,9.895,8.054,11.736,1.949
Tetrahedral,9.39,9.025,11.435,1.983
Tetrahedral,11.396,9.992,9.5,1.845
Tetrahedral,10.325,7.621,11.855,1.255
Tetrahedral,10.666,9.391,12.358,1.834
Tetrahedral,10.855,8.178,9.519,7.727
Tetrahedral,10.651,7.382,9.003,2.939
Tetrahedral,10.212,8.618,8.951,2.953
Tetrahedral,11.386,8.515,12.215,2.973
Tetrahedral,9.164,8.065,9.343,2.033
Tetrahedral,11.182,11.067,10.322,1.776
Tetrahedral,9.785,8.935,11.564,1.658
Tetrahedral,8.438,8.434,11.288,1.247
Tetrahedral,10.121,10.585,10.263,1.934
Tetrahedral,9.638,10.861,8.986,1.885
Tetrahedral,10.759,9.363,10.161,2.451
Tetrahedral,9.658,9.207,10.277,1.846
Tetrahedral,10.163,7.171,11.876,2.276
Tetrahedral,11.066,7.271,8.071,2.204
Tetrahedral,10.229,8.377,10.262,1.36
Tetrahedral,10.177,6.799,10.66,1.741
Tetrahedral,8.601,7.203,9.087,1.637
Tetrahedral,9.648,7.513,9.869,1.777
Tetrahedral,8.739,9.11,11.439,1.913
Tetrahedral,8.825,6.892,11.971,2.135
Tetrahedral,9.131,11.596,8.358,2.879
Tetrahedral,10.103,10.992,10.029,2.36
Tetrahedral,9.491,8.89,9.059,2.954
Tetrahedral,11.449,9.664,10.418,2.181
Tetrahedral,9.946,11.932,12.366,3.721
Tetrahedral,8.735,8.5,11.278,8.1
Tetrahedral,7.983,10.252,9.794,7.889
Tetrahedral,9.201,8.558,11.419,0.715
Tetrahedral,9.634,7.938,9.143,2.809
Tetrahedral,10.229,9.752,10.68,2.611
Tetrahedral,9.036,10.268,10.61,6.36
Tetrahedral,7.829,10.403,10.937,0.584
Tetrahedral,8.945,9.036,10.168,0.981
Tetrahedral,11.371,11.927,8.382,2.288
Tetrahedral,12.287,9.688,11.102,2.003
Tetrahedral,9.862,9.115,8.95,2.497
Tetrahedral,11.522,11.206,10.129,2.743
Tetrahedral,9.862,10.45,11.931,2.482
Tetrahedral,9.347,10.995,10.109,3.16
Tetrahedral,8.681,11.486,9.054,3.075
Tetrahedral,7.996,11.429,13.484,1.336
Tetrahedral,10.27,11.092,11.485,2.271
Tetrahedral,12.009,11.009,10.812,2.043
Tetrahedral,9.865,7.724,8.438,0.907
Tetrahedral,10.456,10.483,10.192,3.847
Tetrahedral,8.668,10.538,11.075,2.128
Tetrahedral,9.447,11.892,10.874,1.756
Tetrahedral,9.27,10.699,9.502,2.142
Tetrahedral,7.975,11.262,8.834,2.077
Tetrahedral,9.232,9.353,11.078,1.971
Tetrahedral,9.532,11.022,8.896,1.423
Tetrahedral,11.226,9.05,12.181,8.859
Tetrahedral,9.918,7.864,10.058,8.394
Tetrahedral,10.448,9.229,9.14,9.881
Seesaw,1.328,1.328,1.328,8.948
Seesaw,0.566,0.308,0.595,7.668
Seesaw,0.443,0.705,0.283,7.413
Seesaw,0.959,0.463,0.562,7.159
Seesaw,0.458,0.573,0.687,6.007
Seesaw,1.231,0.547,0.775,8.12
Seesaw,0.647,0.359,0.34,8.728
Seesaw,0.34,0.686,0.797,7.258
Seesaw,0.788,0.646,0.467,8.657
Seesaw,1.079,0.466,0.557,8.742
Seesaw,1.168,0.598,0.4,6.303
Seesaw,0.416,0.996,0.862,8.435
Seesaw,0.66,0.577,0.841,8.023
Seesaw,0.876,0.58,0.621,0.511
Seesaw,0.892,0.719,0.992,3.815
Seesaw,0.852,0.57,0.583,4.295
Seesaw,1.241,0.422,0.605,4.949
Seesaw,1.803,0.49,0.548,0.98
Seesaw,1.193,0.747,1.058,2.102
Seesaw,0.748,0.591,0.949,7.225
Seesaw,0.953,0.447,0.841,5.663
Seesaw,0.548,0.291,1.112,3.036
Seesaw,1.032,0.947,0.617,6.645
Seesaw,0.516,0.586,0.694,6.999
Seesaw,0.255,0.507,0.684,5.735
Seesaw,0.752,0.746,0.609,6.547
Seesaw,0.514,0.633,1.018,4.774
Seesaw,0.616,0.356,0.48,7.013
Seesaw,1.09,0.893,0.989,6.466
Seesaw,1.166,0.438,0.275,8.159
Seesaw,0.702,0.521,0.366,7.225
Seesaw,0.712,0.487,1.411,1.598
Seesaw,0.569,0.822,0.378,7.33
Seesaw,0.576,0.64,1.01,4.829
Seesaw,1.27,0.808,0.828,6.679
Seesaw,0.442,0.601,0.746,5.945
Seesaw,0.737,0.651,0.953,7.949
Seesaw,0.466,0.855,0.373,3.648
Seesaw,0.822,0.757,0.591,5.929
Seesaw,1.4,0.918,0.703,0.754
Seesaw,0.889,1.038,0.441,0.296
Seesaw,0.673,0.884,0.752,0.574
Seesaw,0.365,1.026,0.739,0.375
Seesaw,0.76,1.832,0.288,0.415
Seesaw,0.591,0.584,0.75,0.683
Seesaw,0.99,1.144,0.668,0.298
Seesaw,0.608,0.822,1.357,5.451
Seesaw,0.847,0.86,1.39,7.745
Seesaw,0.889,0.677,0.564,4.161
Seesaw,1.202,0.832,0.741,5.477
Seesaw,0.544,0.877,1.175,7.586
Seesaw,0.405,0.406,0.726,8.487
Seesaw,1.115,0.731,0.538,6.074
Seesaw,0.723,0.937,0.842,5.141
Seesaw,0.493,0.874,0.492,6.977
Seesaw,1.044,0.888,0.723,6.925
Seesaw,0.268,1.525,0.52,4.854
Seesaw,0.273,0.437,0.487,6.37
Seesaw,1.915,0.652,1.056,7.011
Seesaw,0.244,0.426,0.659,7.504
Seesaw,1.053,0.526,0.774,3.642
Seesaw,0.478,0.285,2.626,6.889
Seesaw,0.46,0.381,0.42,8.019
Seesaw,0.415,0.705,0.398,5.821
Seesaw,0.508,0.945,0.407,1.644
Seesaw,0.855,0.781,0.889,6.717
Seesaw,0.522,0.455,0.856,6.881
Seesaw,0.506,0.747,0.625,5.833
Seesaw,0.941,1.03,0.269,5.305
Seesaw,0.78,0.747,0.681,4.74
Seesaw,0.421,0.947,0.803,4.737
Seesaw,0.806,0.922,0.258,8.312
Seesaw,0.756,0.734,0.496,5.014
Seesaw,0.649,0.702,0.614,7.558
Seesaw,0.697,0.645,1.055,1.077
Seesaw,0.648,0.637,0.499,4.472
Seesaw,0.815,0.523,0.35,7.615
Seesaw,0.533,0.518,0.361,0.906
Seesaw,0.502,1.291,1.337,7.265
Seesaw,0.814,0.737,0.368,7.631
Seesaw,0.681,1.302,0.863,4.079
Seesaw,0.584,0.253,0.454,1.106
Seesaw,0.568,1.067,0.269,6.122
Seesaw,0.582,0.484,0.55,4.45
Seesaw,0.478,1.192,0.631,6.955
Seesaw,0.769,1.12,0.591,7.794
Seesaw,0.805,0.548,0.523,5.844
Seesaw,0.614,0.756,0.636,4.325
Seesaw,0.722,1.171,0.539,5.517
Seesaw,0.224,1.197,0.507,6.185
Seesaw,0.478,0.744,1.145,7.87
Seesaw,0.513,0.659,0.845,7.408
Seesaw,0.622,0.846,0.945,7.452
Seesaw,1.335,1.005,1.273,7.826
Seesaw,0.566,0.669,0.945,6.136
Seesaw,0.714,0.56,1.059,6.831
Seesaw,0.699,0.496,1.351,7.005
Seesaw,0.503,0.818,0.344,6.374
Seesaw,0.6,0.889,0.985,6.9
Seesaw,0.834,0.989,0.599,5.061
Seesaw,0.611,0.99,1.227,6.439
Seesaw,0.417,1,1.199,7.983
Seesaw,0.729,0.527,0.893,7.319
Seesaw,0.784,0.587,0.542,8.425
Seesaw,1.203,0.647,0.995,5.388
Seesaw,0.638,0.976,1.095,7.749
Seesaw,0.431,0.423,0.801,7.083
Seesaw,1.233,0.889,0.253,0.652
Seesaw,0.342,0.528,0.845,0.547
Seesaw,0.345,0.929,0.853,6.385
Seesaw,0.881,0.282,0.41,4.218
Seesaw,0.668,0.589,0.906,6.22
Seesaw,0.808,0.67,0.738,5.34
Seesaw,0.516,1.018,0.851,6.585
Seesaw,0.738,0.452,1.633,6.803
Seesaw,1.142,0.914,0.59,8.187
Seesaw,0.503,0.49,0.866,7.215
Seesaw,0.952,0.7,0.655,7.512
Seesaw,0.372,0.9,0.753,5.749
Seesaw,0.749,0.904,0.615,6.141
Seesaw,0.535,1.309,0.668,4.612
Seesaw,0.397,0.781,0.883,5.144
Seesaw,0.298,0.906,0.339,5.605
Seesaw,0.374,0.829,0.748,3.605
Seesaw,0.668,0.742,0.589,8.173
Seesaw,0.628,0.857,1.203,5.469
Seesaw,0.703,0.383,0.377,7.493
Seesaw,0.527,0.233,0.533,5.661
Seesaw,0.974,0.756,0.224,4.364
Seesaw,1.158,2.04,1.261,2.824
Seesaw,0.832,0.633,1.332,6.393
Seesaw,0.727,0.83,0.532,7.236
Seesaw,0.527,0.83,1.483,5.767
Seesaw,0.896,1.186,0.997,6.493
Seesaw,0.507,0.492,1.38,5.645
Seesaw,0.63,1.051,0.803,7.122
Seesaw,0.752,0.484,1.147,4.778
Seesaw,0.835,0.443,0.346,7.545
Seesaw,0.909,1.114,0.448,3.571
Seesaw,0.623,0.624,1.125,7.897
Seesaw,0.646,0.639,0.469,0.722
Seesaw,1.132,0.675,1.506,7.151
Seesaw,0.637,0.771,0.952,7.672
Seesaw,0.464,0.656,1.429,7.172
Seesaw,1.546,0.958,1.558,0.626
Seesaw,1.144,0.533,0.562,4.427
Seesaw,1.063,0.786,0.592,5.801
Seesaw,0.729,0.779,0.42,6.056
Seesaw,0.916,0.391,0.432,6.468
Seesaw,0.504,0.602,0.927,5.208
Seesaw,1.093,0.232,0.712,6.597
Seesaw,0.581,0.566,0.852,3.994
Seesaw,0.385,0.522,0.415,5.536
Seesaw,0.724,0.557,0.737,5.348
Seesaw,1.201,0.916,0.81,5.626
Seesaw,1.379,1.261,0.99,6.849
Seesaw,1.14,0.889,0.682,7.364
Seesaw,1.469,1.029,0.706,7.717
Seesaw,1.137,0.64,0.488,7.391
Seesaw,0.877,0.81,1.301,4.599
Seesaw,0.639,0.671,0.687,4.388
Seesaw,0.893,0.647,0.427,7.579
Seesaw,1.079,1.042,0.739,2.507
Seesaw,0.96,0.447,0.819,0.625
Seesaw,1.245,0.483,0.436,7.271
Seesaw,0.726,0.678,0.834,5.19
Seesaw,0.754,0.322,0.728,4.862
Seesaw,0.284,1.223,0.663,6.753
Seesaw,0.432,0.866,0.907,6.038
Seesaw,0.964,0.513,0.59,5.602
Seesaw,1.084,0.481,1.063,4.541
Seesaw,0.872,0.626,0.717,6.171
Seesaw,0.498,1.368,1.046,7.425
Seesaw,0.811,0.798,0.832,5.301
Seesaw,0.892,1.067,0.997,7.954
