Coordination,r1_c36,r2_c36,r3_c36,r1_aa99sb*
V-trigonal-bipyramid,7.555,6.292,6.572,2.062
V-trigonal-bipyramid,6.825,7.212,7.663,2.226
V-trigonal-bipyramid,5.626,7.658,8.105,2.374
V-trigonal-bipyramid,7.819,7.297,6.185,2.884
V-trigonal-bipyramid,8.357,6.18,8.724,1.739
V-trigonal-bipyramid,9.645,7.816,7.372,3.752
V-trigonal-bipyramid,7.385,7.68,6.111,2.992
V-trigonal-bipyramid,7.859,8.115,5.826,1.61
V-trigonal-bipyramid,8.795,7.556,8.544,2.509
V-trigonal-bipyramid,7.496,8.089,9.136,2.715
V-trigonal-bipyramid,5.939,6.705,7.215,2.498
V-trigonal-bipyramid,8.926,6.342,8.268,3.605
V-trigonal-bipyramid,5.15,6.608,6.736,2.456
V-trigonal-bipyramid,7.804,8.741,6.212,2.371
V-trigonal-bipyramid,5.293,6.667,6.942,2.701
V-trigonal-bipyramid,8.423,6.697,7.974,2.085
V-trigonal-bipyramid,7.078,7.275,7.012,2.271
V-trigonal-bipyramid,7.621,6.974,8.167,1.78
V-trigonal-bipyramid,7.502,6.05,9.185,2.176
V-trigonal-bipyramid,6.076,7.363,6.311,3.158
V-trigonal-bipyramid,9.267,6.89,6.862,2.916
V-trigonal-bipyramid,5.351,8.218,5.53,2.652
V-trigonal-bipyramid,6.506,6.549,6.17,2.699
V-trigonal-bipyramid,6.026,7.749,7.557,2.908
V-trigonal-bipyramid,8.024,6.895,7.579,2.49
V-trigonal-bipyramid,7.493,6.799,7.797,2.245
V-trigonal-bipyramid,6.571,7.576,5.922,3.06
V-trigonal-bipyramid,6.411,7.357,5.375,3.051
V-trigonal-bipyramid,7.023,7.542,8.252,2.694
V-trigonal-bipyramid,7.34,9.258,8.703,2.738
V-trigonal-bipyramid,8.082,7.977,6.477,2.75
V-trigonal-bipyramid,6.332,9.411,7.976,2.753
V-trigonal-bipyramid,7.859,7.005,10.821,2.085
V-trigonal-bipyramid,5.61,8.067,5.924,2.341
V-trigonal-bipyramid,7.755,6.342,7.362,3.9
V-trigonal-bipyramid,7.311,8.237,7.721,2.303
V-trigonal-bipyramid,7.844,6.94,8.003,3.032
V-trigonal-bipyramid,8.042,7.749,6.917,1.693
V-trigonal-bipyramid,6.194,7.898,6.602,1.551
V-trigonal-bipyramid,7.66,8.111,7.896,2.992
V-trigonal-bipyramid,8.786,6.199,7.346,1.799
V-trigonal-bipyramid,9.437,5.524,6.794,3.099
V-trigonal-bipyramid,6.116,8.372,5.427,2.956
V-trigonal-bipyramid,7.651,5.184,8.32,2.395
V-trigonal-bipyramid,7.588,7.979,6.742,2.955
V-trigonal-bipyramid,6.738,8.538,6.183,2.903
V-trigonal-bipyramid,7.865,6.958,8.786,2.581
V-trigonal-bipyramid,10.244,6.754,7.735,2.327
V-trigonal-bipyramid,7.021,6.306,7.387,2.42
V-trigonal-bipyramid,8.254,8.041,10.3,3.054
V-trigonal-bipyramid,8.337,4.962,8.806,2.548
V-trigonal-bipyramid,5.192,7.937,4.258,3.136
V-trigonal-bipyramid,6.658,6.848,8.292,2.054
V-trigonal-bipyramid,5.275,6.866,7.734,2.45
V-trigonal-bipyramid,7.294,7.19,9.63,2.749
V-trigonal-bipyramid,8.572,7.812,6.62,2.877
V-trigonal-bipyramid,7.622,6.351,6.981,2.685
V-trigonal-bipyramid,7.794,8.263,6.545,2.872
V-trigonal-bipyramid,8.767,7.217,10.757,2.638
V-trigonal-bipyramid,6.82,6.955,6.029,3.03
V-trigonal-bipyramid,6.827,7.506,8.132,2.392
V-trigonal-bipyramid,6.255,6.445,7.076,2.4
V-trigonal-bipyramid,6.556,5.546,7.825,2.404
V-trigonal-bipyramid,6.381,8.272,7.503,2.955
V-trigonal-bipyramid,8.953,9.589,5.966,2.847
V-trigonal-bipyramid,7.069,6.375,7.921,1.873
V-trigonal-bipyramid,8.369,8.727,7.116,2.24
V-trigonal-bipyramid,6.02,7.956,7.045,2.321
V-trigonal-bipyramid,5.478,6.439,7.171,1.947
V-trigonal-bipyramid,5.771,9.645,7.978,2.602
V-trigonal-bipyramid,8.362,6.142,8.257,2.511
V-trigonal-bipyramid,8.531,7.586,9.23,1.672
V-trigonal-bipyramid,6.86,8.059,6.967,1.666
V-trigonal-bipyramid,8.126,6.148,8.389,3.135
V-trigonal-bipyramid,6.566,8.098,7.647,2.647
V-trigonal-bipyramid,6.026,7.179,6.329,2.122
V-trigonal-bipyramid,6.452,6.907,9.836,2.649
V-trigonal-bipyramid,6.03,5.651,5.493,2.895
V-trigonal-bipyramid,6.183,9.685,8.675,3.275
V-trigonal-bipyramid,4.627,6.934,6.601,1.46
V-trigonal-bipyramid,6.987,6.893,9.237,2.842
V-trigonal-bipyramid,9.272,6.702,8.677,2.865
V-trigonal-bipyramid,6.801,7.116,6.21,3.75
V-trigonal-bipyramid,7.704,6.217,8.428,2.041
V-trigonal-bipyramid,6.991,9.081,7.905,2.546
V-trigonal-bipyramid,7.105,9.438,7.088,3.662
V-trigonal-bipyramid,6.519,7.538,8.165,2.131
V-trigonal-bipyramid,7.194,7.193,7.962,2.41
V-trigonal-bipyramid,8.341,9.653,8.65,2.128
V-trigonal-bipyramid,6.933,7.153,6.496,3.074
V-trigonal-bipyramid,5.532,6.007,8.476,3.354
V-trigonal-bipyramid,7.13,7.833,7.513,3.151
V-trigonal-bipyramid,8.857,6.32,6.32,3.498
V-trigonal-bipyramid,7.038,7.443,7.018,2.702
V-trigonal-bipyramid,7.056,6.088,6.392,2.73
V-trigonal-bipyramid,5.492,6.041,6.852,2.564
V-trigonal-bipyramid,7.969,7.394,9.356,3.249
V-trigonal-bipyramid,7.143,8.725,8.741,2.341
V-trigonal-bipyramid,7.228,7.416,7.745,3.257
V-trigonal-bipyramid,7.268,5.191,7.971,2.739
V-trigonal-bipyramid,8.351,4.421,8.45,2.626
V-trigonal-bipyramid,6.217,6.473,7.381,2.218
V-trigonal-bipyramid,6.461,7.487,8.472,2.961
V-trigonal-bipyramid,7.91,5.737,7.873,2.805
V-trigonal-bipyramid,6.017,8.738,9.162,2.338
V-trigonal-bipyramid,7.535,6.12,6.713,3.623
V-trigonal-bipyramid,7.666,8.467,7.837,2.365
V-trigonal-bipyramid,7.271,8.36,7.716,1.827
V-trigonal-bipyramid,7.45,7.327,9.417,2.845
V-trigonal-bipyramid,7.889,7.337,7.694,2.515
V-trigonal-bipyramid,6.832,7.849,7.497,2.514
V-trigonal-bipyramid,8.008,6.654,8.267,2.776
V-trigonal-bipyramid,6.065,6.855,6.263,3.144
V-trigonal-bipyramid,9.173,7.265,7.797,3.091
V-trigonal-bipyramid,6.529,6.393,8.858,1.809
V-trigonal-bipyramid,4.602,5.587,6.75,3.098
V-trigonal-bipyramid,6.524,8.68,6.392,2.199
V-trigonal-bipyramid,7.09,8.888,6.519,1.902
V-trigonal-bipyramid,7.169,6.349,6.071,3.076
V-trigonal-bipyramid,7.915,6.956,9.168,2.562
V-trigonal-bipyramid,7.133,6.75,6.973,1.873
V-trigonal-bipyramid,7.211,8.403,6.858,2.941
V-trigonal-bipyramid,6.615,8.313,8.423,3.126
V-trigonal-bipyramid,6.27,8.495,9.871,2.76
V-trigonal-bipyramid,7.484,6.576,7.582,1.634
V-trigonal-bipyramid,7.63,8.343,8.225,2.268
V-trigonal-bipyramid,6.145,8.121,7.52,2.552
V-trigonal-bipyramid,8.405,7.517,8.126,3.469
V-trigonal-bipyramid,7.298,6.938,6.409,1.907
V-trigonal-bipyramid,5.978,5.945,7.059,2.861
V-trigonal-bipyramid,7.382,5.956,6.547,2.962
V-trigonal-bipyramid,5.394,5.634,6.612,3.047
V-trigonal-bipyramid,7.61,6.948,8.503,2.101
V-trigonal-bipyramid,8.625,8.386,7.067,2.854
V-trigonal-bipyramid,8.285,8.348,8.565,2.611
V-trigonal-bipyramid,7.489,8.01,7.968,3.229
V-trigonal-bipyramid,7.047,5.814,6.073,2.235
V-trigonal-bipyramid,6.558,7.174,7.867,3.962
V-trigonal-bipyramid,6.535,7.1,8.004,3.347
V-trigonal-bipyramid,6.303,9.308,8.287,1.284
V-trigonal-bipyramid,6.994,7.165,8.337,3.083
V-trigonal-bipyramid,7.551,5.69,6.99,2.703
V-trigonal-bipyramid,7.588,8.053,8.717,2.155
V-trigonal-bipyramid,8.032,6.394,8.173,2.972
V-trigonal-bipyramid,7.695,5.674,7.106,3.286
V-trigonal-bipyramid,7.118,6.267,8.221,3.516
V-trigonal-bipyramid,5.303,7.257,6.269,2.552
V-trigonal-bipyramid,7.529,5.52,8.68,2.717
V-trigonal-bipyramid,6.799,7.09,7.236,3.07
V-trigonal-bipyramid,5.528,5.85,7.303,1.946
V-trigonal-bipyramid,7.842,6.42,7.84,3.303
V-trigonal-bipyramid,6.978,6.046,8.875,1.242
V-trigonal-bipyramid,6.727,7.324,10.19,2.582
V-trigonal-bipyramid,7.914,7.206,5.23,2.307
V-trigonal-bipyramid,9.356,9.616,7.5,2.717
V-trigonal-bipyramid,5.92,5.052,6.809,2.758
V-trigonal-bipyramid,8.183,6.47,8.104,2.831
V-trigonal-bipyramid,8.025,6.122,6.595,2.768
V-trigonal-bipyramid,7.569,7.289,7.663,2.52
V-trigonal-bipyramid,6.604,5.401,4.872,2.878
V-trigonal-bipyramid,8.075,8.513,8.639,2.251
V-trigonal-bipyramid,7.658,7.234,6.999,2.657
V-trigonal-bipyramid,6.823,5.065,8.764,2.795
V-trigonal-bipyramid,8.179,5.423,7.31,2.197
V-trigonal-bipyramid,6.237,5.624,7.56,1.237
V-trigonal-bipyramid,7.955,6.47,5.723,2.654
V-trigonal-bipyramid,6.19,8.511,6.657,2.393
V-trigonal-bipyramid,6.123,5.49,7.789,2.723
V-trigonal-bipyramid,6.375,6.269,6.257,3.222
V-trigonal-bipyramid,7.761,8.329,6.776,1.303
V-trigonal-bipyramid,5.141,9.657,6.249,2.124
V-trigonal-bipyramid,7.952,7.008,7.22,2.308
V-trigonal-bipyramid,7.525,5.254,4.434,3.063
V-trigonal-bipyramid,6.487,7.106,7.791,2.702
V-trigonal-bipyramid,7.446,7.583,7.588,2.525
V-trigonal-bipyramid,7.568,6.352,7.536,2.41
V-trigonal-bipyramid,9.408,5.501,7.967,2.54
V-trigonal-bipyramid,7.767,6.473,7.819,2.605
V-trigonal-bipyramid,8.336,7.456,7.686,2.196
V-trigonal-bipyramid,7.598,5.965,6.811,1.551
V-trigonal-bipyramid,6.293,6.557,5.312,2.555
V-trigonal-bipyramid,7.273,6.726,5.985,2.68
V-trigonal-bipyramid,7.327,5.433,7.203,2.501
V-trigonal-bipyramid,9.326,7.927,7.896,3.103
V-trigonal-bipyramid,9.463,7.296,8.546,2.463
V-trigonal-bipyramid,6.512,5.963,6.374,3.062
V-trigonal-bipyramid,6.326,7.225,6.413,2.572
V-trigonal-bipyramid,7.407,4.808,7.361,2.973
V-trigonal-bipyramid,8.588,7.78,9.672,3.245
V-trigonal-bipyramid,8.174,8.376,6.176,1.895
V-trigonal-bipyramid,9.16,6.244,11.157,2.444
V-trigonal-bipyramid,7.27,8.455,7.344,1.346
V-trigonal-bipyramid,7.463,7.816,7.104,2.21
V-trigonal-bipyramid,7.729,6.948,9.688,1.493
V-trigonal-bipyramid,6.709,6.377,8.195,3.158
V-trigonal-bipyramid,6.826,8.356,8.979,2.088
V-trigonal-bipyramid,7.473,5.039,9.39,2.954
V-trigonal-bipyramid,6.166,6.765,9.048,2.592
V-trigonal-bipyramid,8.754,5.176,9.012,1.917
V-trigonal-bipyramid,7.856,6.115,8.663,3.068
V-trigonal-bipyramid,7.905,7.128,7.298,3.298
V-trigonal-bipyramid,6.835,6.547,7.638,1.717
V-trigonal-bipyramid,6.098,5.208,7.482,1.789
V-trigonal-bipyramid,7.3,6.632,8.861,3.541
V-trigonal-bipyramid,5.598,5.65,7.606,2.747
V-trigonal-bipyramid,8.639,6.603,7.17,3.105
V-trigonal-bipyramid,7.915,5.341,8.26,1.725
V-trigonal-bipyramid,7.901,6.469,9.309,2.697
V-trigonal-bipyramid,7.117,5.321,5.973,1.484
V-trigonal-bipyramid,7.522,5.33,7.423,3.009
V-trigonal-bipyramid,6.551,5.994,6.749,2.037
V-trigonal-bipyramid,6.978,5.238,8.837,2.628
V-trigonal-bipyramid,5.145,5.928,7.513,1.816
V-trigonal-bipyramid,7.451,7.632,6.526,2.869
V-trigonal-bipyramid,6.866,6.13,9.232,3.054
V-trigonal-bipyramid,5.078,6.119,6.436,2.362
V-trigonal-bipyramid,6.606,8.168,8.16,2.75
V-trigonal-bipyramid,6.919,6.301,6.229,2.5
V-trigonal-bipyramid,7.874,5.982,7.7,3.013
V-trigonal-bipyramid,6.266,7.783,7.408,3.464
V-trigonal-bipyramid,7.734,5.304,8.502,2.75
V-trigonal-bipyramid,7.29,5.195,5.615,1.933
V-trigonal-bipyramid,7.75,6.062,8.928,3.166
V-trigonal-bipyramid,7.249,4.466,7.355,3.163
V-trigonal-bipyramid,5.717,5.275,7.025,3.079
V-trigonal-bipyramid,6.535,5.88,6.431,1.545
V-trigonal-bipyramid,6.319,6.243,7.336,3.305
V-trigonal-bipyramid,6.609,4.332,8.601,3.073
V-trigonal-bipyramid,7.354,8.568,6.06,2.181
V-trigonal-bipyramid,5.954,8.337,6.475,1.219
V-trigonal-bipyramid,7.387,6.549,6.79,2.442
V-trigonal-bipyramid,9.364,6.993,8.41,1.462
V-trigonal-bipyramid,6.648,8.153,8.541,2.721
V-trigonal-bipyramid,6.737,5.914,9.445,3.182
V-trigonal-bipyramid,6.362,8.43,8.005,2.292
V-trigonal-bipyramid,7.069,5.811,8.496,2.375
V-trigonal-bipyramid,8.069,6.086,6.524,1.782
V-trigonal-bipyramid,6.574,5.992,6.801,3.069
V-trigonal-bipyramid,6.06,8.694,7.884,3.239
V-trigonal-bipyramid,6.02,7.475,8.073,2.957
V-trigonal-bipyramid,6.593,6.855,6.721,3.106
V-trigonal-bipyramid,7.805,8.376,5.992,2.463
V-trigonal-bipyramid,8.251,7.823,8.577,3.172
V-trigonal-bipyramid,8.561,5.662,4.423,3.514
V-trigonal-bipyramid,6.924,7.469,6.783,1.862
V-trigonal-bipyramid,6.531,6.785,8.148,2.161
V-trigonal-bipyramid,6.611,7.464,7.647,2.094
V-trigonal-bipyramid,6.858,8.041,6.245,2.921
V-trigonal-bipyramid,6.393,8.098,10.063,3.207
V-trigonal-bipyramid,6.952,7.611,8.019,2.796
V-trigonal-bipyramid,7.657,7.046,7.557,2.861
V-trigonal-bipyramid,6.367,6.588,6.787,2.835
V-trigonal-bipyramid,7.396,7.769,6.69,2.025
V-trigonal-bipyramid,7.152,7.465,8.607,2.893
V-trigonal-bipyramid,6.758,8.08,7.497,2.382
V-trigonal-bipyramid,6.635,7.837,7.319,2.865
V-trigonal-bipyramid,6.408,8.332,6.337,3.244
V-trigonal-bipyramid,7.212,7.344,7.255,1.755
V-trigonal-bipyramid,7.782,8.134,6.549,2.98
V-trigonal-bipyramid,8.205,5.9,8.274,3.257
V-trigonal-bipyramid,5.896,5.889,6.436,2.347
V-trigonal-bipyramid,8.892,8.388,5.357,2.509
