Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,0.599,0.585,0.657
Tetrahedral,0.536,0.75,0.67
Tetrahedral,0.721,0.574,0.394
Tetrahedral,0.427,0.524,0.812
Tetrahedral,0.681,0.674,0.81
Tetrahedral,0.9,0.276,0.289
Tetrahedral,0.486,0.284,0.995
Tetrahedral,0.613,0.508,0.141
Tetrahedral,0.865,0.707,0.795
Tetrahedral,0.599,0.782,0.759
Tetrahedral,0.889,0.587,0.744
Tetrahedral,0.961,0.47,0.4
Tetrahedral,0.791,0.562,0.766
Tetrahedral,0.456,0.469,0.563
Tetrahedral,0.535,0.557,0.323
Tetrahedral,0.909,0.551,0.686
Tetrahedral,0.723,0.431,0.438
Tetrahedral,0.669,0.66,0.438
Tetrahedral,0.73,0.919,0.972
Tetrahedral,1.023,0.835,0.251
Tetrahedral,0.359,0.681,1.386
Tetrahedral,0.721,0.772,0.466
Tetrahedral,0.434,0.43,0.805
Tetrahedral,0.638,0.566,0.73
Tetrahedral,1.275,1,0.589
Tetrahedral,0.901,0.812,0.697
Tetrahedral,0.617,0.438,0.745
Tetrahedral,0.49,0.655,0.366
Tetrahedral,1.036,0.525,0.69
Tetrahedral,0.541,0.792,0.532
Tetrahedral,0.968,0.323,0.48
Tetrahedral,0.606,0.981,0.537
Tetrahedral,0.606,1.259,0.6
Tetrahedral,0.847,0.816,0.538
Tetrahedral,0.757,0.724,0.656
Tetrahedral,1.085,0.604,0.638
Tetrahedral,1.196,0.618,0.656
Tetrahedral,0.669,0.568,0.442
Tetrahedral,0.921,0.83,0.586
Tetrahedral,0.926,0.554,0.568
Tetrahedral,1.055,0.429,0.67
Tetrahedral,0.905,0.297,0.763
Tetrahedral,0.844,0.354,0.937
Tetrahedral,0.968,0.377,0.826
Tetrahedral,0.924,0.779,0.566
Tetrahedral,0.518,0.372,1.638
Tetrahedral,0.548,0.781,1.001
Tetrahedral,0.82,0.387,0.61
Tetrahedral,0.681,0.316,0.605
Tetrahedral,0.791,0.445,0.439
Tetrahedral,0.581,0.523,0.638
Tetrahedral,0.942,0.743,0.698
Tetrahedral,0.684,0.751,0.805
Tetrahedral,0.572,0.492,0.4
Tetrahedral,0.908,0.951,0.519
Tetrahedral,1.31,0.652,0.408
Tetrahedral,1.196,0.673,0.564
Tetrahedral,0.496,0.85,0.591
Tetrahedral,0.688,0.356,0.537
Tetrahedral,0.729,0.815,0.571
Tetrahedral,0.449,0.646,0.42
Tetrahedral,0.635,0.595,0.374
Tetrahedral,0.884,0.388,0.468
Tetrahedral,1.09,0.521,0.508
Tetrahedral,0.692,0.383,0.715
Tetrahedral,0.831,0.878,0.536
Tetrahedral,0.6,0.71,0.326
Tetrahedral,0.597,0.572,0.559
Tetrahedral,0.626,0.698,0.436
Tetrahedral,0.64,0.828,0.479
Tetrahedral,0.636,0.425,0.524
Tetrahedral,0.415,0.772,0.542
Tetrahedral,0.802,0.652,0.965
Tetrahedral,0.684,0.53,0.431
Tetrahedral,0.518,0.697,0.735
Tetrahedral,1.028,0.652,1.117
Tetrahedral,0.733,0.709,0.545
Tetrahedral,1.272,0.578,0.897
Tetrahedral,0.681,0.681,0.714
Tetrahedral,0.517,0.502,0.677
Tetrahedral,0.618,0.565,0.395
Tetrahedral,0.593,0.38,0.413
Tetrahedral,0.825,0.545,0.611
Tetrahedral,0.726,0.402,0.382
Tetrahedral,0.889,0.482,0.339
Tetrahedral,0.464,1.111,0.511
Tetrahedral,1.056,0.583,0.636
Tetrahedral,0.547,0.514,0.534
Tetrahedral,0.647,0.446,0.614
Tetrahedral,0.731,1.031,0.542
Tetrahedral,0.831,0.359,0.859
Tetrahedral,0.437,1.044,0.697
Tetrahedral,0.938,0.914,0.457
Tetrahedral,0.798,0.762,0.796
Tetrahedral,0.717,0.714,0.503
Tetrahedral,0.637,0.445,0.639
Tetrahedral,0.432,0.654,0.422
Tetrahedral,0.594,0.61,0.425
Tetrahedral,0.446,1.054,0.444
Tetrahedral,0.485,0.391,0.625
Tetrahedral,0.946,0.445,0.36
Tetrahedral,0.508,0.485,0.737
Tetrahedral,0.528,0.848,0.431
Tetrahedral,0.785,0.574,0.907
Tetrahedral,1.086,0.76,0.84
Tetrahedral,1.078,0.783,0.482
Tetrahedral,0.848,0.667,0.919
Tetrahedral,0.711,0.361,0.547
Tetrahedral,0.498,0.902,0.618
Tetrahedral,0.968,0.465,0.756
Tetrahedral,0.775,0.868,0.66
Tetrahedral,0.737,0.453,0.459
Tetrahedral,0.617,0.455,0.524
Tetrahedral,0.717,0.737,1.271
Tetrahedral,0.755,0.747,1.309
Tetrahedral,0.647,0.51,0.596
Tetrahedral,0.727,0.35,0.578
Tetrahedral,0.615,0.741,0.698
Tetrahedral,0.905,0.712,0.922
Tetrahedral,0.537,0.924,0.343
Tetrahedral,0.571,0.306,1.363
Tetrahedral,0.538,0.679,0.549
Tetrahedral,1.002,0.828,0.566
Tetrahedral,1.018,0.81,0.7
Tetrahedral,0.628,0.794,0.444
Tetrahedral,0.624,0.573,0.743
Tetrahedral,0.893,0.434,0.674
Tetrahedral,0.766,0.518,0.878
Tetrahedral,0.547,0.502,0.55
Tetrahedral,0.732,0.293,0.703
Tetrahedral,0.958,0.679,1.003
Tetrahedral,1.411,0.462,0.748
Tetrahedral,0.678,0.442,0.669
Tetrahedral,0.881,0.439,0.793
Tetrahedral,0.485,1.23,0.995
Tetrahedral,0.685,0.583,0.668
Tetrahedral,0.706,0.922,0.554
Tetrahedral,0.564,0.599,0.506
Tetrahedral,0.525,0.772,0.449
Tetrahedral,0.573,0.77,0.426
Tetrahedral,1.235,0.588,0.414
Tetrahedral,0.723,0.45,0.747
Tetrahedral,0.665,0.806,0.469
Tetrahedral,0.628,0.921,0.618
Tetrahedral,0.925,0.375,0.856
Tetrahedral,1.176,0.334,0.461
Tetrahedral,0.707,0.352,0.591
Tetrahedral,1.753,0.644,0.719
Tetrahedral,1.194,0.876,1.599
Tetrahedral,0.561,0.483,1.025
Tetrahedral,0.851,0.567,0.581
Tetrahedral,0.678,0.469,0.511
Tetrahedral,1.075,0.698,0.762
Tetrahedral,0.964,0.622,0.543
Tetrahedral,0.415,0.716,0.52
Tetrahedral,0.847,0.504,0.486
Tetrahedral,0.493,0.626,0.917
Tetrahedral,0.963,0.833,0.775
Tetrahedral,0.481,0.729,0.668
Tetrahedral,1.183,0.385,0.534
Tetrahedral,1.018,1.563,0.644
Tetrahedral,0.5,0.575,0.436
Tetrahedral,0.947,0.38,0.714
Tetrahedral,0.909,0.341,0.535
Tetrahedral,0.885,1.234,0.356
Tetrahedral,0.405,0.845,0.669
Tetrahedral,0.554,0.631,1.288
Tetrahedral,0.711,0.422,0.264
Tetrahedral,0.432,0.768,0.53
Tetrahedral,1.157,0.798,0.386
Tetrahedral,0.738,0.927,0.508
Tetrahedral,0.507,0.59,0.722
Tetrahedral,0.756,0.327,0.622
Tetrahedral,1.25,0.35,0.52
Tetrahedral,0.939,0.352,0.805
Tetrahedral,0.853,0.567,0.55
Tetrahedral,1.016,0.714,0.716
Tetrahedral,0.579,0.5,0.171
Tetrahedral,0.661,0.235,0.31
Tetrahedral,0.736,0.516,0.468
Tetrahedral,0.782,0.26,0.563
Tetrahedral,0.487,0.775,0.394
Tetrahedral,0.571,0.675,0.435
Tetrahedral,0.524,0.587,0.561
Tetrahedral,0.677,0.572,0.47
Tetrahedral,0.437,0.595,0.437
Tetrahedral,0.5,0.338,0.296
Tetrahedral,0.639,0.719,0.455
Tetrahedral,1.464,0.45,0.534
Tetrahedral,0.471,0.793,0.672
Tetrahedral,0.519,0.303,0.702
Tetrahedral,0.692,0.61,0.686
Tetrahedral,0.692,0.42,0.307
Tetrahedral,0.785,0.833,0.448
Tetrahedral,0.55,0.602,0.295
Tetrahedral,0.709,0.372,0.573
Tetrahedral,0.602,0.763,0.302
Tetrahedral,0.991,0.754,0.51
Tetrahedral,0.939,0.679,0.369
Tetrahedral,0.295,0.434,0.567
Tetrahedral,0.75,0.918,0.354
Tetrahedral,0.529,0.835,0.595
Tetrahedral,0.564,0.665,0.452
Tetrahedral,0.562,0.771,0.706
Tetrahedral,1.012,0.123,0.518
Tetrahedral,0.596,0.687,0.809
Tetrahedral,0.792,0.508,0.27
Tetrahedral,0.627,0.471,0.635
Tetrahedral,0.8,1.054,0.487
Tetrahedral,0.479,0.969,1.038
Tetrahedral,0.656,1.125,0.701
Tetrahedral,0.578,0.827,0.266
Tetrahedral,1.181,0.591,0.266
Tetrahedral,1.022,1.016,0.42
Tetrahedral,0.445,0.788,0.833
Tetrahedral,0.414,0.61,0.865
Tetrahedral,0.574,0.609,1.097
Tetrahedral,1.109,0.703,0.26
Tetrahedral,0.639,0.758,0.537
Tetrahedral,0.438,0.892,0.53
Tetrahedral,0.87,0.343,0.702
Tetrahedral,0.52,0.548,0.434
Tetrahedral,0.697,0.571,0.436
Tetrahedral,0.519,0.7,0.287
Tetrahedral,0.881,0.498,0.572
Tetrahedral,0.897,0.414,0.598
Tetrahedral,0.512,0.403,0.641
Tetrahedral,0.639,0.525,1.21
Tetrahedral,0.701,1.043,1.764
Tetrahedral,0.452,0.345,0.857
Tetrahedral,0.71,0.613,0.894
Tetrahedral,1.362,0.485,0.72
Tetrahedral,0.812,0.661,0.822
Tetrahedral,0.705,0.411,0.714
Tetrahedral,0.397,0.471,0.573
Tetrahedral,0.62,0.812,0.734
Tetrahedral,1.178,0.69,0.828
Tetrahedral,0.549,0.91,0.614
Tetrahedral,0.583,0.631,0.431
Tetrahedral,0.541,0.471,0.756
Tetrahedral,0.707,0.429,0.9
Tetrahedral,0.618,0.331,0.548
Tetrahedral,0.949,0.774,0.622
Tetrahedral,0.457,0.39,0.727
Tetrahedral,0.876,0.71,0.596
Tetrahedral,0.796,0.521,0.99
Tetrahedral,0.545,0.523,0.938
Tetrahedral,0.42,0.732,0.769
Tetrahedral,0.674,0.665,0.594
Tetrahedral,0.7,0.359,1.089
Tetrahedral,0.628,0.709,0.334
Tetrahedral,0.483,0.671,0.294
Tetrahedral,1.108,0.879,0.448
Tetrahedral,0.456,0.638,0.568
Tetrahedral,0.901,0.536,0.847
Tetrahedral,1.014,0.708,0.412
Tetrahedral,0.858,0.515,0.421
Tetrahedral,0.909,0.338,0.569
Tetrahedral,0.7,0.471,0.325
Tetrahedral,0.525,0.721,0.408
Tetrahedral,0.485,0.676,0.723
Tetrahedral,0.583,0.704,0.557
Tetrahedral,1.066,0.628,0.306
Tetrahedral,0.765,0.614,0.666
Tetrahedral,0.874,0.515,0.372
Tetrahedral,0.948,0.904,0.378
Tetrahedral,1.008,0.425,0.558
Tetrahedral,0.474,0.225,0.516
Tetrahedral,0.693,0.555,0.39
Tetrahedral,0.773,0.519,0.5
Tetrahedral,0.713,0.796,0.787
Tetrahedral,0.437,0.874,1.024
Tetrahedral,0.926,0.426,0.56
Tetrahedral,0.711,1.183,0.748
Tetrahedral,1.205,0.373,0.995
Tetrahedral,0.801,0.367,0.524
Tetrahedral,0.876,0.638,0.584
Tetrahedral,0.799,0.659,0.507
Tetrahedral,1.005,0.673,0.776
Tetrahedral,1.417,1.019,0.629
Tetrahedral,0.659,0.6,0.831
Tetrahedral,1.168,0.474,1.125
Tetrahedral,0.612,0.447,0.503
Tetrahedral,0.867,0.469,0.451
Tetrahedral,0.823,0.848,0.457
Tetrahedral,0.558,0.714,0.572
Tetrahedral,1.091,0.389,0.271
Tetrahedral,0.801,0.505,0.448
Tetrahedral,0.498,0.767,0.8
Tetrahedral,0.743,0.455,0.734
Tetrahedral,0.787,0.232,0.624
Tetrahedral,0.747,0.668,1.123
Tetrahedral,0.699,0.891,0.628
Tetrahedral,0.848,0.585,0.454
Tetrahedral,0.491,0.556,0.468
Tetrahedral,0.695,0.868,0.824
Tetrahedral,0.337,0.631,0.671
Tetrahedral,1.142,0.586,1.131
Tetrahedral,0.684,0.494,0.388
Tetrahedral,0.795,0.618,1.498
Tetrahedral,0.886,0.72,0.584
Tetrahedral,0.703,1.095,0.564
Tetrahedral,0.631,0.455,1.1
Tetrahedral,0.688,0.859,0.875
Tetrahedral,0.73,0.954,0.864
Tetrahedral,0.726,0.573,0.364
Tetrahedral,1.047,0.294,0.619
Tetrahedral,1.052,0.487,1.175
Tetrahedral,1.031,0.562,0.482
Tetrahedral,0.983,0.501,0.38
Tetrahedral,0.626,0.498,0.811
Tetrahedral,0.605,0.934,0.898
Tetrahedral,1.031,0.568,0.71
Tetrahedral,1.219,0.532,0.8
Tetrahedral,0.345,0.595,0.489
Tetrahedral,0.697,0.455,0.576
Tetrahedral,0.76,1.215,0.785
Tetrahedral,0.877,0.473,0.759
Tetrahedral,0.692,0.463,0.335
Tetrahedral,0.916,0.604,0.8
Tetrahedral,0.662,0.768,1.126
Tetrahedral,0.828,0.629,0.714
Tetrahedral,0.701,0.718,0.744
Tetrahedral,0.759,1.122,0.949
Tetrahedral,0.945,1.163,0.764
Tetrahedral,0.903,0.567,0.757
Tetrahedral,0.523,0.659,0.537
Tetrahedral,0.945,0.881,0.982
Tetrahedral,0.871,0.594,0.65
Tetrahedral,1.074,0.651,0.614
Tetrahedral,1.62,0.468,0.634
Tetrahedral,0.635,0.654,1.005
Tetrahedral,0.497,0.717,0.444
Tetrahedral,0.849,0.659,0.714
Tetrahedral,0.692,0.514,0.729
Tetrahedral,0.678,0.645,0.586
Tetrahedral,0.484,0.543,1.039
Tetrahedral,0.81,0.507,0.39
Tetrahedral,0.809,0.532,0.526
Tetrahedral,0.606,0.737,0.6
Tetrahedral,0.799,0.385,0.4
Tetrahedral,0.655,0.747,0.651
Tetrahedral,1.16,1.056,0.286
Tetrahedral,0.837,0.894,0.931
Tetrahedral,0.672,0.879,0.57
Tetrahedral,0.865,0.26,0.858
Tetrahedral,0.597,0.66,0.441
Tetrahedral,0.943,0.494,0.506
Tetrahedral,0.738,0.417,0.64
Tetrahedral,1.065,0.778,0.667
Tetrahedral,0.607,0.685,0.685
Tetrahedral,0.349,0.871,0.332
Tetrahedral,0.597,0.621,0.439
Tetrahedral,0.469,0.466,0.531
Tetrahedral,0.441,0.767,0.8
Tetrahedral,0.943,0.769,0.621
Tetrahedral,1.063,0.584,0.408
Tetrahedral,1.032,0.585,0.826
Tetrahedral,0.922,0.229,0.69
Tetrahedral,0.402,0.487,0.626
Tetrahedral,0.728,0.793,0.385
Tetrahedral,0.37,1.071,0.404
Tetrahedral,0.621,0.345,0.749
Tetrahedral,0.701,0.564,0.825
Tetrahedral,0.547,0.655,0.686
Tetrahedral,0.671,0.43,0.566
Tetrahedral,1.096,0.556,0.605
Tetrahedral,0.286,0.191,0.748
Tetrahedral,1.576,1.151,0.495
Tetrahedral,1.189,0.276,1.188
Tetrahedral,0.51,0.452,0.492
Tetrahedral,0.657,0.824,0.719
Tetrahedral,1.788,0.612,0.428
Tetrahedral,0.635,0.737,0.515
Tetrahedral,0.678,0.5,0.683
Tetrahedral,0.333,0.64,1.032
Tetrahedral,0.723,0.225,0.95
Tetrahedral,0.534,0.974,0.585
Tetrahedral,0.849,0.86,0.913
Tetrahedral,1.108,0.625,0.702
Tetrahedral,0.796,0.67,0.747
Tetrahedral,0.548,0.6,0.935
Tetrahedral,0.657,0.866,0.487
Tetrahedral,0.567,0.435,0.418
Tetrahedral,0.604,0.724,0.828
Tetrahedral,0.572,0.367,0.513
Tetrahedral,0.688,0.668,0.801
Tetrahedral,0.867,1.338,0.452
Tetrahedral,0.489,0.547,0.542
Tetrahedral,0.756,0.801,0.515
Tetrahedral,0.68,0.559,0.588
Tetrahedral,0.964,0.677,0.57
Tetrahedral,1.108,0.452,0.464
Tetrahedral,0.703,0.444,0.555
Tetrahedral,0.311,0.543,0.452
Tetrahedral,0.554,1.02,0.575
Tetrahedral,0.911,0.354,0.614
Tetrahedral,0.995,0.479,0.461
Tetrahedral,0.926,1.004,0.335
Tetrahedral,0.846,0.271,0.302
Tetrahedral,0.695,0.664,0.867
Tetrahedral,0.708,0.75,0.687
Tetrahedral,0.535,0.348,0.401
