Coordination,r1_c36,r2_c36,r3_c36
Tetrahedral,0.779,52.335,0.439
Tetrahedral,1.506,51.797,0.592
Tetrahedral,0.738,53.044,0.531
Tetrahedral,0.872,50.012,1.08
Tetrahedral,0.94,54.673,0.611
Tetrahedral,0.9,53.801,0.404
Tetrahedral,0.69,41.999,0.704
Tetrahedral,0.925,30.863,0.364
Tetrahedral,0.692,10.743,1.269
Tetrahedral,0.888,11.142,0.959
Tetrahedral,0.591,38.094,0.93
Tetrahedral,1.057,29.947,0.723
Tetrahedral,0.747,35.259,0.655
Tetrahedral,0.497,43.141,0.905
Tetrahedral,1.192,50.068,1.344
Tetrahedral,0.758,49.992,0.949
Tetrahedral,1.75,44.935,0.856
Tetrahedral,0.701,41.691,0.932
Tetrahedral,1.075,42.882,1.039
Tetrahedral,0.39,38.992,0.558
Tetrahedral,0.956,36.861,0.625
Tetrahedral,1.026,45.137,0.526
Tetrahedral,0.881,40.869,0.688
Tetrahedral,0.638,42.167,0.689
Tetrahedral,1.037,44.123,0.766
Tetrahedral,0.806,41.932,1.19
Tetrahedral,1.064,37.436,0.903
Tetrahedral,1.055,46.036,0.722
Tetrahedral,1.077,48.153,0.8
Tetrahedral,0.759,51.837,0.885
Tetrahedral,0.699,53.65,0.529
Tetrahedral,0.542,52.768,0.607
Tetrahedral,0.748,53.4,0.976
Tetrahedral,0.742,57.241,0.882
Tetrahedral,1.235,58.512,0.329
Tetrahedral,0.555,56.001,0.534
Tetrahedral,0.615,55.32,0.983
Tetrahedral,0.443,56.794,0.921
Tetrahedral,0.9,52.071,1.019
Tetrahedral,0.744,54.381,0.604
Tetrahedral,0.554,55.114,0.444
Tetrahedral,0.641,56.784,0.718
Tetrahedral,0.97,52.316,0.767
Tetrahedral,0.673,50.405,0.617
Tetrahedral,0.778,47.069,0.509
Tetrahedral,0.709,43.805,0.397
Tetrahedral,1.25,51.22,0.843
Tetrahedral,0.638,33.594,0.775
Tetrahedral,0.739,52.253,0.531
