Tetrahedral	Seesaw	V-trigonal-bipyramid
0.93	6.164	1.85
0.523	8.279	2.476
0.603	7.058	2.457
0.5	7.517	2.598
0.686	7.713	1.954
0.385	7.806	2.11
0.331	7.445	2.401
0.321	8.766	2.002
0.188	8.083	2.667
0.782	6.674	2.699
0.364	7.843	3.198
0.242	8.038	3.162
0.782	7.865	1.415
0.24	8.433	3.218
0.869	6.536	2.435
0.179	9.272	3.035
0.89	7.914	1.201
0.161	8.733	2.826
0.502	8.254	2.628
0.566	7.051	2.326
0.349	8.197	2.822
0.322	7.76	2.725
0.204	7.879	2.708
0.227	8.766	2.691
0.639	6.436	2.818
0.216	8.351	2.56
0.342	8.555	2.848
0.187	8.427	2.806
0.602	6.938	3.351
0.327	7.934	2.839
0.286	8.207	3.259
1.145	5.675	2.491
0.303	8.363	2.381
0.367	7.752	3.263
0.71	6.705	1.837
0.224	8.364	2.46
0.499	7.316	2.273
0.748	6.437	1.952
0.411	8.102	2.674
1.158	5.869	1.352
0.559	7.176	2.507
0.681	8.001	2.873
0.806	7.014	2.638
0.37	8.458	2.059
1.056	6.44	2.069
0.725	7.125	3.394
0.651	6.42	3.213
0.647	7.157	3.575
0.365	7.446	3.117
0.713	8.057	1.433
0.61	6.041	3.09
0.325	8.176	2.717
0.35	7.539	2.812
0.287	7.409	3.185
0.153	9.147	2.808
0.475	8.476	2.628
0.48	8.074	2.608
0.576	8.18	1.89
0.212	8.763	2.412
0.819	7.045	2.516
1.346	5.429	2.937
0.553	6.515	3.321
0.852	6.035	2.388
0.81	7.634	1.795
0.45	7.651	3.111
0.355	7.445	2.968
0.204	9.173	2.757
0.587	8.274	2.353
0.44	7.074	2.534
0.509	7.64	2.61
0.486	8.272	2.375
0.263	8.97	2.597
0.47	7.854	2.577
0.657	7.591	3.333
0.678	6.449	2.439
0.455	7.958	2.387
0.824	6.161	2.755
0.821	7.704	2.606
0.522	7.364	2.393
0.354	8.273	2.566
0.688	7.282	2.119
0.62	6.678	2.247
0.369	8.51	2.383
0.632	8.187	1.995
0.226	9.152	2.936
0.338	8.383	2.879
0.591	8.273	1.77
0.475	6.672	2.624
0.234	8.14	2.805
0.465	7.221	2.024
0.434	7.861	2.539
0.541	6.742	3.223
0.44	7.896	2.234
0.395	7.886	2.907
0.635	8.689	2.824
0.47	7.781	3.567
0.21	8.55	2.647
0.507	8.548	2.006
1.031	6.11	2.086
0.234	7.898	2.988
0.334	7.196	3.035
0.336	9.021	2.457
0.6	6.527	3.085
0.742	7.206	1.778
0.653	8.037	2.796
0.785	6.468	1.906
1.398	4.449	3.232
0.281	8.67	2.287
0.446	8.367	2.635
0.631	6.451	2.666
0.618	7.474	1.953
0.271	8.312	2.646
0.305	8.276	2.907
0.881	7.671	1.409
0.418	8.42	3.343
0.209	8.644	2.416
0.319	7.952	2.833
0.274	8.268	2.475
0.445	8.226	3.325
0.422	7.177	3.256
0.316	8.668	2.196
0.675	5.954	2.806
0.552	7.35	2.814
0.316	7.462	2.722
0.3	8.888	2.687
0.482	7.972	2.654
0.835	6.287	2.214
0.882	6.502	2.314
0.701	7.955	2.614
0.759	8.154	2.579
0.453	7.244	2.319
0.594	6.722	2.687
0.311	7.589	2.405
0.801	5.85	3.243
0.555	8.069	2.38
1.041	5.123	3.025
0.319	8.263	3.118
0.433	8.086	2.872
0.937	7.781	1.245
0.465	8.19	2.652
0.681	6.062	2.774
0.286	8.42	2.505
0.33	8.021	3.093
0.509	8.072	3.242
1.731	5.2	3.16
0.228	8.658	2.469
0.046	9.525	3.286
0.764	7.416	2.668
0.683	6.579	2.84
0.71	7.059	2.585
0.332	7.781	2.151
0.814	6.665	2.243
0.751	8.478	2.19
1.348	7.46	1.346
0.967	7.143	1.968
2.167	4.831	1.542
0.45	7.937	2.602
0.322	7.529	3.146
0.802	7.845	2.97
0.444	7.443	2.708
0.072	9.042	3.329
0.357	8.303	2.658
0.483	7.88	3.558
0.44	7.483	2.087
0.718	6.867	1.806
0.706	7.001	1.825
0.793	8.689	2.149
0.648	7.821	2.278
0.244	8.076	2.644
0.196	8.704	3.202
1.093	6.614	2.647
0.337	8.731	2.325
0.451	8.373	1.908
0.17	8.137	2.704
1.085	6.09	2.687
1.37	4.957	2.411
0.204	9.249	2.995
0.177	8.318	2.857
0.624	6.187	2.408
0.347	7.512	2.805
0.235	8.166	2.691
0.761	7.692	2.152
0.441	6.451	2.838
0.259	8.717	3.065
0.575	7.544	3.25
0.621	8.94	2.155
0.775	7.253	2.323
0.818	8.308	2.649
0.677	6.907	2.513
0.518	8.55	2.694
0.661	7.915	3.075
1.262	5.57	3.389
0.647	7.894	1.593
0.187	8.727	2.877
0.837	7.91	1.343
0.448	7.592	3.201
0.197	8.697	3.308
0.418	7.547	2.591
0.404	8.811	2.4
0.371	8.207	2.754
0.505	8.296	2.552
0.374	8.535	2.744
0.501	7.193	3.761
0.528	7.98	2.635
0.274	8.356	3.033
0.168	8.651	2.801
0.374	8.657	2.753
0.388	7.79	2.587
0.634	7.459	2.761
0.147	8.721	2.659
0.646	6.941	3.412
0.77	8.483	2.025
0.477	8.67	3.63
0.571	8.241	3.162
0.929	5.683	2.902
0.604	7.8	1.915
0.281	8.021	3.41
1.084	7.621	2.217
0.437	8.333	2.456
1.032	6.862	4.233
0.328	7.809	2.512
0.804	6.67	2.587
0.506	8.445	3.218
0.23	7.869	2.416
0.548	6.695	2.626
0.437	8.074	3.114
1.468	6.589	3.37
0.88	6.962	2.747
0.579	8.07	2.211
0.293	7.922	2.447
0.325	8.316	2.468
0.262	8.148	2.2
1.297	6.484	1.237
0.167	8.884	3.252
0.297	8.627	2.909
0.677	7.545	2.062
0.91	6.33	2.226
0.698	7.176	2.374
0.233	7.78	2.884
0.676	7.711	1.739
0.405	8.069	3.752
1.003	8.726	2.992
0.455	8.452	1.61
0.775	7.022	2.509
0.393	8.28	2.715
0.817	7.156	2.498
1.094	5.823	3.605
0.721	8.104	2.456
0.243	8.665	2.371
0.34	8.075	2.701
0.593	7.5	2.085
0.444	7.565	2.271
0.742	7.788	1.78
0.717	7.181	2.176
0.781	8.216	3.158
0.351	8.527	2.916
0.796	7.244	2.652
0.398	7.836	2.699
0.18	8.205	2.908
1.204	7.87	2.49
0.473	8.556	2.245
0.292	8.205	3.06
0.594	7.509	3.051
0.323	7.765	2.694
0.241	7.823	2.738
0.212	9.02	2.75
0.38	8.222	2.753
0.466	7.866	2.085
0.596	7.933	2.341
0.478	7.549	3.9
0.47	7.963	2.303
0.344	7.674	3.032
0.986	8.219	1.693
0.633	7.503	1.551
0.696	7.577	2.992
0.576	7.509	1.799
0.14	8.823	3.099
0.64	8.286	2.956
0.73	7.91	2.395
0.496	7.974	2.955
0.23	8.626	2.903
0.273	8.673	2.581
0.69	7.104	2.327
0.684	7.753	2.42
0.293	8.201	3.054
1.371	8.05	2.548
0.383	7.268	3.136
0.665	7.724	2.054
0.51	7.32	2.45
0.456	7.999	2.749
0.124	8.584	2.877
0.318	8.727	2.685
0.486	8.509	2.872
0.541	7.9	2.638
0.634	6.402	3.03
0.862	6.599	2.392
0.492	7.415	2.4
1.026	6.936	2.404
0.445	7.96	2.955
0.262	8.539	2.847
0.485	7.075	1.873
0.857	6.774	2.24
1.142	7.41	2.321
1.293	6.399	1.947
0.332	8.01	2.602
0.154	9.109	2.511
0.62	7.266	1.672
1.052	5.942	1.666
0.124	8.499	3.135
0.611	7.724	2.647
0.874	6.329	2.122
0.691	6.403	2.649
0.26	8.453	2.895
0.632	7.798	3.275
0.706	7.164	1.46
0.26	9.136	2.842
1.062	5.802	2.865
1.002	7.435	3.75
0.663	7.695	2.041
0.645	6.747	2.546
0.372	7.718	3.662
0.703	7.16	2.131
0.441	8.183	2.41
0.542	7.209	2.128
0.191	8.978	3.074
0.372	7.215	3.354
0.178	8.729	3.151
0.553	7.006	3.498
1.023	6.898	2.702
1.036	5.652	2.73
0.862	5.885	2.564
0.458	7.376	3.249
0.503	7.544	2.341
0.358	7.849	3.257
0.457	8.089	2.739
0.463	7.929	2.626
0.828	6.79	2.218
0.069	8.988	2.961
0.853	8.383	2.805
0.384	7.956	2.338
0.893	6.925	3.623
0.49	7.93	2.365
0.866	7.968	1.827
0.362	7.501	2.845
0.401	7.169	2.515
0.425	8.635	2.514
0.247	9.055	2.776
0.787	6.286	3.144
0.626	7.913	3.091
0.781	7.676	1.809
0.341	8.153	3.098
0.592	7.049	2.199
0.564	8.069	1.902
0.342	7.472	3.076
0.883	5.971	2.562
0.698	6.64	1.873
0.426	7.298	2.941
0.312	8.13	3.126
1.243	7.163	2.76
0.697	7.539	1.634
0.532	7.113	2.268
0.636	7.686	2.552
0.67	7.326	3.469
1.386	6.974	1.907
0.375	6.994	2.861
0.297	8.274	2.962
0.21	8.392	3.047
0.462	8.254	2.101
0.381	8.448	2.854
0.391	7.541	2.611
0.353	7.338	3.229
0.383	8.268	2.235
1.179	6.698	3.962
0.295	8.442	3.347
1.245	7.193	1.284
1.002	5.377	3.083
0.121	8.504	2.703
0.49	8.168	2.155
0.322	7.412	2.972
1.201	7.257	3.286
0.436	7.67	3.516
0.237	8.674	2.552
0.276	8.144	2.717
0.091	8.904	3.07
0.687	6.315	1.946
0.595	7.125	3.303
1.016	7.774	1.242
0.487	7.152	2.582
0.851	7.042	2.307
0.759	6.013	2.717
0.238	8.515	2.758
0.632	6.14	2.831
0.436	8.414	2.768
0.276	8.446	2.52
0.33	7.88	2.878
0.552	6.707	2.251
0.62	7.239	2.657
0.739	6.588	2.795
0.487	7.895	2.197
2.449	4.7	1.237
0.263	8.25	2.654
0.818	8.351	2.393
0.889	7.807	2.723
0.455	7.347	3.222
1.104	6.395	1.303
0.613	7.337	2.124
0.621	6.671	2.308
0.768	6.194	3.063
0.576	8.348	2.702
0.586	7.154	2.525
0.628	7.432	2.41
0.231	8.339	2.54
0.228	8.557	2.605
0.711	7.257	2.196
0.55	7.691	1.551
0.597	7.25	2.555
0.584	7.415	2.68
0.377	8.341	2.501
0.789	7.536	3.103
0.547	7.918	2.463
0.683	7.821	3.062
0.449	7.424	2.572
0.29	7.981	2.973
0.962	6.225	3.245
1.166	7.009	1.895
0.395	8.969	2.444
0.759	8.324	1.346
0.725	6.976	2.21
0.997	6.576	1.493
0.191	8.603	3.158
1.113	6.78	2.088
0.189	8.223	2.954
0.562	7.992	2.592
0.895	6.304	1.917
0.412	8.279	3.068
0.351	8.045	3.298
0.503	8.322	1.717
1.098	7.483	1.789
0.456	8.565	3.541
0.35	8.502	2.747
0.51	6.671	3.105
0.574	7.752	1.725
0.208	9.024	2.697
0.843	6.846	1.484
0.125	9.195	3.009
0.425	7.99	2.037
0.411	7.654	2.628
0.885	6.225	1.816
0.587	6.757	2.869
0.283	7.515	3.054
0.315	8.607	2.362
0.572	7.493	2.75
0.433	8.599	2.5
0.239	7.487	3.013
0.346	7.592	3.464
0.43	7.468	2.75
0.428	8.782	1.933
0.964	6.26	3.166
0.585	7.188	3.163
0.548	8.224	3.079
0.64	8.179	1.545
0.505	7.799	3.305
0.26	8.228	3.073
0.576	6.933	2.181
1.19	8.118	1.219
0.337	8.092	2.442
0.986	6.43	1.462
0.304	7.63	2.721
0.501	8.189	3.182
0.523	7.648	2.292
0.333	8.337	2.375
0.763	6.466	1.782
1.076	7.323	3.069
0.103	8.658	3.239
0.139	9.251	2.957
0.184	8.872	3.106
0.359	8.189	2.463
0.315	7.902	3.172
0.32	7.621	3.514
0.546	7.164	1.862
0.812	6.536	2.161
0.339	8.725	2.094
1.1	7.951	2.921
1.176	5.561	3.207
0.536	7.964	2.796
0.252	7.793	2.861
0.229	8.662	2.835
0.531	7.376	2.025
0.12	8.802	2.893
1.414	6.074	2.382
0.503	6.41	2.865
0.735	7.041	3.244
0.837	6.342	1.755
0.468	6.812	2.98
0.178	8.919	3.257
0.464	9.03	2.347
1.345	4.947	2.509
